sample_id,class_label,S,V,A,PR,SPRO,CONJ,ADV,PART,APRO,ADVPRO,INTJ,NUM,ANUM,COM
iamb_6_39,iamb_6,0.27127410980832556,-0.6337360032058666,0.39014069511455635,0.735110228361134,0.5238787491107353,0.345647726527995,-1.4969997157763997,-0.5302192624223684,0.8192818369265239,-1.311590475140079,-0.9003717560375896,-1.6499297676128213,-0.19110032865285523,-0.10454393597678566
iamb_6_40,iamb_6,0.009530782016527253,-1.180686165210977,0.5466246519576858,-0.8399800009626943,0.6773555902136846,0.5889827605219797,-0.8658725353506302,-0.25699024817057214,0.33303099538136693,1.2467819537919518,0.34247432457968907,-0.9147640455067343,1.0760716455191683,-0.10454393597678566
iamb_6_41,iamb_6,-0.27142260505161586,-0.45943431230597626,-1.1018123648192655,0.26135291774741554,1.6905833701654318,0.05075903512539847,-0.1225331895367964,-0.539023253294321,0.26872799215730514,0.6994220554486875,-0.36463096110302323,-0.1712879674673263,1.0864518259876825,-0.10454393597678566
iamb_6_42,iamb_6,0.009530782016527253,-1.1156367131711855,-0.07846893337032942,-0.1607028905437843,0.919191643905285,0.47534261642719583,-0.05028072652955471,-0.7227314864058053,0.917748549687322,-0.5704277317109367,-0.3704397249032603,-0.9147640455067343,1.0760716455191683,-0.10454393597678566
iamb_6_43,iamb_6,-0.25364592312543444,-2.5174372768491464,1.19750869218788,-0.20889470538528834,0.6446394303920155,0.8760694780339878,-1.4657592779898991,0.05538131719463913,1.4085765732696591,0.5355567774928041,0.32854763152002225,-0.1894786847224828,0.6375897967262966,-0.10454393597678566
iamb_6_44,iamb_6,-0.6566524693288102,-1.0831823652292316,0.647796722200519,0.5991915692600288,-0.24250780782881412,0.7381288630847079,-0.07062325020011068,-0.8394427374504301,0.7618470412713743,1.93676876970778,-0.3841029926213261,-0.6810346619191768,-0.2101039232341904,-0.10454393597678566
iamb_6_45,iamb_6,0.13075024827917747,-0.4975446453870765,0.3342974190820032,-1.1523793737994592,0.16121355080958927,0.8183991416456586,-1.506311404025451,-0.3853900882855494,1.034252423289636,0.6973762554444218,-0.3650794688921104,-0.1718285197961989,0.6593980536846495,-0.10454393597678566
iamb_6_46,iamb_6,0.20411799598252228,-1.5212678144782483,1.0494719046903245,-1.0789449014848673,0.18450515338394716,-0.014484674454693168,-0.566462983924792,0.09808843205553974,1.1359079019990714,1.622373813362683,-1.2620824603183243,0.8011520193091979,-0.6233462244452658,-0.10454393597678566
iamb_6_47,iamb_6,-0.45310120649145447,-1.4273429027784994,0.14526864437703194,-0.6929748813865215,0.7219591732682882,1.080986938353934,0.034971069602048654,-0.37372567967380543,1.3901108500358923,0.4250187121571778,-0.736489004872854,-0.923572286062234,-1.4718634217907616,-0.10454393597678566
iamb_6_48,iamb_6,0.10636146492795594,-0.6919067630125455,-0.47246482448407784,-0.4658083636034518,0.10451488202799214,1.1662302522436665,-1.0039877683388363,-1.584251591893696,2.086429832487922,0.4463761587659805,-0.5556380673667082,0.05623121238572366,-1.0495799562589483,-0.10454393597678566
iamb_6_49,iamb_6,-0.051665978352239475,-0.9926267896234929,-0.13552537208211243,0.8920434390152444,-0.39934429960548246,0.8633551022319397,-0.6659831032583751,-0.8803817713811981,0.9954788042273514,1.0949381984186615,-1.0890924014099115,0.29490979870900835,-0.20815073515592958,-0.10454393597678566
iamb_6_50,iamb_6,0.023386730018665917,-0.9095541186747536,0.5345774318617035,-1.2429016373992074,-0.5775934063544544,1.07648602824483,-0.10009340288739423,-0.6254256246662501,1.5644874268694724,0.8625765771899017,-1.0731983035958543,-0.4027983677372742,-1.4718634217907616,-0.10454393597678566
trochee_3_1,trochee_3,1.295035209579744,1.9575923620784927,-0.7094173357573028,1.2855252935575168,-2.6121395198554382,-2.061440793398182,2.5688434853170405,-0.7049416811700819,-1.2534045481058385,1.3147066890472574,0.1059445466699564,-0.8486889871936784,-0.5654028448797006,-0.10454393597678566
