sample_id,class_label,и в,и с,и не,я не,и на,я в,в нем,как в,в сердце,с ним,в ней,что в,как будто,и как,с тобой,он в,что ж,не в,и к,что то,в душе,и я,у нас,ко мне,в них,со мной,ты не,я с,и вот,что же,он не,в поле,мне в,что я,но в,что за,к нему,а в,да и,но не,я и,что ты,он и,в груди,с тобою,так и,в мире,у меня,я на,и за,к ней,и ты,вот и,ты в,мой друг,кто то,не знаю,к тебе,и что,если б,к нам,в жизни,быть может,то что,и все,что не,может быть,в небе,мне не,о чем,с ней,о том,но я,он с,и всё,друг мой,и по,на свете,в час,во мне,в том,на землю,то в,во сне,всё что,предо мной,в этом,со мною,а я,уж не,и так,не могу,я к,и от,из за,не мог,что с,на сердце,когда то,на земле
amphibrach_40,amphibrach,1.784607960327634,-0.5948471797654684,-1.2005567153430956,0.5296270648903609,-0.3132378569083544,0.6438334507893102,-0.2114917447919049,1.0092212236726572,1.9467863011849833,-0.9435895217356584,0.10021070234610797,1.2719506656250505,0.1960937227558524,-0.8648884382334302,-0.940573138674662,0.19718909304075308,0.18549128768854228,1.3207604909661594,1.371136241077549,0.26610552975601715,0.3511878257110659,1.4199794854058743,0.36775160365587595,0.43043382239723926,-0.8147544679088559,-0.906595393923817,-0.7677708014950669,-0.7860375980017122,-0.6385064442054771,-0.7226870179719747,-0.7347278799785846,0.490273802226636,-0.7568480585982564,-0.7317376746772005,0.5626774941502267,-0.6992980571174179,-0.7463841734837174,-0.7288815785446117,-0.7013006677635049,-0.7822959229949109,-0.778610968986582,1.979710687835408,0.6222292640624347,0.6825011127053143,0.5931969208562587,-0.661139693003372,-0.7313437059012816,-0.737714251127519,-0.743053768290362,-0.6738627967707588,0.7107605801397239,0.7912312726961611,0.7044311719550304,-0.7186992473215571,-0.6537211563404066,-0.6907252411719799,0.8095809173779248,0.8280914078859746,-0.6540958724843816,-0.6626771501539072,-0.6952854642807845,-0.6679233138948358,-0.6469997452786572,-0.6920867640573873,-0.6390662581540403,-0.6149567186406,-0.6425073146696588,-0.6049548887692174,-0.6474657995443855,-0.6045515151950903,0.9396290936250489,1.011846884659643,0.9247586526656415,2.6284782698215,2.482181129389495,-0.5699719989547638,-0.6237002888661692,0.883468337561093,-0.5920986091770343,1.1243153822393548,-0.6162149916623305,1.1262983015297818,-0.569437841919665,-0.5894284391898431,-0.576306079758194,-0.5808698383969096,-0.5870820719098077,-0.5681281281117987,-0.5818007739242498,-0.5511602558535613,-0.5195127286811225,1.2527467634241636,1.161771252611037,-0.5163832049221899,-0.5775639739832445,1.1109040509743577,-0.6017527680364009,-0.5459822021548054,-0.6089330703108571,-0.5662064448863167
amphibrach_41,amphibrach,4.751549413503329,-0.02537448008762497,-1.2005567153430956,-1.20357416985992,-0.4095456949451622,-1.0685306492695825,0.4738085730319794,-1.0257746685691564,-0.8796274952674257,-0.9435895217356584,-0.89029367056856,0.029716263945756757,0.07354912924407807,-0.8648884382334302,0.0664042152081032,-0.9011041292765939,0.057130614142591754,-0.8627610817559636,-0.8128035358908694,0.15225333640406535,1.3199058123637637,-0.8003014252828753,0.23271487872573415,0.2799331406046068,-0.8147544679088559,1.5175998572353249,-0.7677708014950669,1.2676407493657658,1.3176828797473747,-0.7226870179719747,-0.7347278799785846,0.3518911486453943,0.4166556577850119,0.42895666306760427,-0.7364472483901398,-0.6992980571174179,0.4403406529951063,1.5945035480174787,-0.7013006677635049,-0.7822959229949109,0.5008838881578547,-0.7370907861706205,1.6484736444814172,-0.7302696390113125,-0.6541769140003574,0.422443547605949,-0.7313437059012816,-0.737714251127519,-0.743053768290362,-0.6738627967707588,-0.7056061338691438,0.6148463533983789,0.5448610703734754,-0.7186992473215571,-0.6537211563404066,-0.6907252411719799,0.6307365045264911,-0.6976301839284657,-0.6540958724843816,-0.6626771501539072,0.6066582805285982,-0.6679233138948358,0.6294544187792434,0.6616270147238329,0.6735809177207879,-0.6149567186406,-0.6425073146696588,1.8283968756274147,-0.6474657995443855,3.599232173117078,0.7537268351823384,0.8234046705970975,-0.5521386013157237,0.8247267585284319,-0.5506432840720606,-0.5699719989547638,-0.6237002888661692,-0.5469763479150165,-0.5920986091770343,-0.613863991680186,-0.6162149916623305,0.9273146459905436,-0.569437841919665,-0.5894284391898431,-0.576306079758194,-0.5808698383969096,-0.5870820719098077,-0.5681281281117987,0.9367356998901037,-0.5511602558535613,0.9167866166526126,-0.5898029768634474,-0.554079476473777,-0.5163832049221899,0.9817911069930905,-0.5541174407668051,1.049920462860345,3.953023372057012,-0.6089330703108571,-0.5662064448863167
amphibrach_42,amphibrach,-0.4417643801253542,1.1762487321256863,-0.5753558821221483,-0.4693708690282038,-1.1438929599758216,0.3822222688358681,1.1639577138593344,-0.16372779755005487,-0.8796274952674257,-0.09998916422643786,2.4664155931978144,-0.011288226585865016,0.9300847776440837,0.04802761158137816,0.9894667896006378,0.9598927196500215,-0.9216195216452806,-0.8627610817559636,0.1123376196304744,-0.7158696379045666,2.295477935714476,-0.8003014252828753,-0.7969401488665969,1.3318701977176939,0.1983123011427381,1.4165917217703603,-0.7677708014950669,-0.7860375980017122,0.298834273521931,0.34317790366862405,-0.7347278799785846,1.3191282377392815,0.36775966960237566,0.380594398994904,-0.7364472483901398,-0.6992980571174179,-0.7463841734837174,0.3844071279330565,-0.7013006677635049,-0.7822959229949109,-0.778610968986582,0.4137765049013776,-0.7138247406339769,0.4666611367486074,0.4026259183087201,0.3772942459138939,1.6452119490157677,-0.737714251127519,-0.743053768290362,-0.6738627967707588,-0.7056061338691438,0.558807394663146,-0.6718609541858805,-0.7186992473215571,0.5605412234164496,0.5307864649362822,-0.73295214346569,-0.6976301839284657,-0.6540958724843816,-0.6626771501539072,-0.6952854642807845,-0.6679233138948358,1.7995374024989854,-0.6920867640573873,0.61888728539267,0.6076647931230587,-0.6425073146696588,1.727007218777555,-0.6474657995443855,-0.6045515151950903,-0.6637778854433288,2.140537229305095,-0.5521386013157237,0.7651873417595589,-0.5506432840720606,-0.5699719989547638,-0.6237002888661692,0.6649281772800205,-0.5920986091770343,-0.613863991680186,-0.6162149916623305,0.864095880428598,-0.569437841919665,-0.5894284391898431,-0.576306079758194,0.9065219039642243,-0.5870820719098077,0.8314682415468098,2.328727467553261,-0.5511602558535613,-0.5195127286811225,-0.5898029768634474,-0.554079476473777,-0.5163832049221899,-0.5775639739832445,-0.5541174407668051,0.9811007449063138,-0.5459822021548054,1.009355442448574,0.9007571880871391
amphibrach_43,amphibrach,2.1294849149589052,0.2789326970313304,-1.2005567153430956,-0.2595984973619992,-0.23907222270590206,2.6619768544301476,1.8118528256564435,-1.0257746685691564,-0.8796274952674257,0.14103950934762513,1.267590856138395,0.2581698540505062,0.2904640012414821,-0.8648884382334302,0.30016681521660216,-0.9011041292765939,2.6962604445706044,-0.8627610817559636,0.37666366406514407,-0.7158696379045666,0.4637915000355876,-0.8003014252828753,0.4717419387025252,-0.8676345580642155,-0.8147544679088559,-0.906595393923817,-0.7677708014950669,1.7443875085760732,0.5666459071583333,-0.7226870179719747,-0.7347278799785846,-0.7032765849115737,0.6890761633739848,-0.7317376746772005,-0.7364472483901398,-0.6992980571174179,-0.7463841734837174,-0.7288815785446117,-0.7013006677635049,-0.7822959229949109,0.797909479994956,-0.7370907861706205,-0.7138247406339769,-0.7302696390113125,-0.6541769140003574,-0.661139693003372,-0.7313437059012816,-0.737714251127519,0.8209976866622731,-0.6738627967707588,0.8372218938905155,0.9270634092089618,-0.6718609541858805,-0.7186992473215571,-0.6537211563404066,0.8797898095386428,-0.73295214346569,-0.6976301839284657,-0.6540958724843816,-0.6626771501539072,0.908895221287919,0.9078578900195475,0.9257741354355415,-0.6920867640573873,0.978302583548873,-0.6149567186406,-0.6425073146696588,-0.6049548887692174,-0.6474657995443855,-0.6045515151950903,1.0827904310418681,2.927395641000782,-0.5521386013157237,-0.6042192439245178,2.7529690234485615,-0.5699719989547638,-0.6237002888661692,-0.5469763479150165,1.077208921930868,1.2795099691964564,-0.6162149916623305,1.279533482692811,-0.569437841919665,-0.5894284391898431,1.29203314403247,-0.5808698383969096,-0.5870820719098077,-0.5681281281117987,-0.5818007739242498,1.1974592423585293,-0.5195127286811225,-0.5898029768634474,-0.554079476473777,-0.5163832049221899,1.343784250791168,-0.5541174407668051,-0.6017527680364009,1.3018236586821907,-0.6089330703108571,-0.5662064448863167
amphibrach_44,amphibrach,0.06398548122179773,0.3082994036344184,-0.3821119882174917,-1.20357416985992,-0.22262093657372167,0.830636807159371,0.8753498913315314,1.231220775553582,2.255122351707064,0.16076003718550302,0.20826572484588982,-0.9543915088131643,0.3113970448328399,-0.8648884382334302,0.3227257234691706,0.31700289911173624,0.306267012343141,-0.8627610817559636,0.39829034042798067,0.373230093500808,4.684996149531935,-0.8003014252828753,1.78655792036507,-0.8676345580642155,-0.8147544679088559,0.6140361727123719,-0.7677708014950669,3.0786116556807235,0.5885577680922207,-0.7226870179719747,-0.7347278799785846,-0.7032765849115737,-0.7568480585982564,-0.7317376746772005,2.1452476350630363,-0.6992980571174179,-0.7463841734837174,-0.7288815785446117,-0.7013006677635049,-0.7822959229949109,0.8265734881582566,-0.7370907861706205,-0.7138247406339769,-0.7302696390113125,2.1127250469543184,-0.661139693003372,-0.7313437059012816,0.8506039020402153,-0.743053768290362,-0.6738627967707588,-0.7056061338691438,-0.7300886562472094,-0.6718609541858805,2.434946391511251,-0.6537211563404066,0.9083446286424723,-0.73295214346569,-0.6976301839284657,-0.6540958724843816,-0.6626771501539072,-0.6952854642807845,-0.6679233138948358,2.5557397936302566,2.7045041717936744,-0.6390662581540403,-0.6149567186406,-0.6425073146696588,-0.6049548887692174,-0.6474657995443855,-0.6045515151950903,-0.6637778854433288,-0.6134672116298091,-0.5521386013157237,-0.6042192439245178,2.8130347017671187,-0.5699719989547638,-0.6237002888661692,-0.5469763479150165,-0.5920986091770343,-0.613863991680186,-0.6162149916623305,-0.5899357274961476,-0.569437841919665,-0.5894284391898431,-0.576306079758194,-0.5808698383969096,1.2625661312422731,-0.5681281281117987,-0.5818007739242498,-0.5511602558535613,-0.5195127286811225,-0.5898029768634474,-0.554079476473777,-0.5163832049221899,1.3787178548779755,-0.5541174407668051,-0.6017527680364009,1.335420128879227,1.509553710028762,-0.5662064448863167
amphibrach_45,amphibrach,0.867235261008451,-0.43174160276339935,-0.30026751550493125,-1.20357416985992,-1.1438929599758216,-0.023988548233657998,-1.1036751774305469,-1.0257746685691564,0.26978078195655403,0.27119499307761924,-0.89029367056856,0.40367721759414676,-0.860853396283201,-0.8648884382334302,1.8386843580417698,0.43881360195056934,-0.9216195216452806,0.46918707760453154,-0.8128035358908694,-0.7158696379045666,0.6286432792466877,-0.8003014252828753,-0.7969401488665969,0.7160088660987592,3.5616939743940303,0.7660993293759908,0.6397925909810396,0.6310004616818476,2.061034822849458,-0.7226870179719747,-0.7347278799785846,-0.7032765849115737,-0.7568480585982564,-0.7317376746772005,2.433417123408354,-0.6992980571174179,-0.7463841734837174,0.8742541587832307,0.879065361881911,-0.7822959229949109,2.7527948367320634,0.9201581129730569,0.9161611450956452,0.9933106780829722,-0.6541769140003574,-0.661139693003372,-0.7313437059012816,-0.737714251127519,1.0086838612565896,-0.6738627967707588,2.7503286483124936,-0.7300886562472094,-0.6718609541858805,1.0158058540364876,1.0948166705094666,2.827228472419815,-0.73295214346569,-0.6976301839284657,-0.6540958724843816,-0.6626771501539072,-0.6952854642807845,1.0969516344892736,-0.6469997452786572,-0.6920867640573873,-0.6390662581540403,-0.6149567186406,-0.6425073146696588,-0.6049548887692174,-0.6474657995443855,-0.6045515151950903,-0.6637778854433288,1.3694159858433221,-0.5521386013157237,-0.6042192439245178,1.299379608139488,1.3155614329645309,-0.6237002888661692,-0.5469763479150165,-0.5920986091770343,1.5067148445016538,-0.6162149916623305,-0.5899357274961476,-0.569437841919665,-0.5894284391898431,-0.576306079758194,1.5609742706031233,-0.5870820719098077,-0.5681281281117987,-0.5818007739242498,-0.5511602558535613,-0.5195127286811225,-0.5898029768634474,-0.554079476473777,-0.5163832049221899,1.5743460377640976,1.4772087791574133,-0.6017527680364009,-0.5459822021548054,1.7214023880627238,-0.5662064448863167
amphibrach_46,amphibrach,0.5994853344128999,0.0342101420055971,-0.5185194427384257,-0.40262511440713866,-1.1438929599758216,0.5141088977545456,-1.1036751774305469,-0.08535990018468192,-0.8796274952674257,-0.023298222634690464,-0.89029367056856,0.07444843543479863,1.0928973389102008,-0.8648884382334302,-0.940573138674662,1.1290742513706231,-0.9216195216452806,-0.8627610817559636,-0.8128035358908694,0.19171347159991228,0.2556453141629867,-0.8003014252828753,1.355974908826459,1.5318251755160495,-0.8147544679088559,-0.906595393923817,1.3649010052869126,1.3609897651551968,2.4291540865387677,-0.7226870179719747,-0.7347278799785846,-0.7032765849115737,-0.7568480585982564,0.48171549660145907,0.4642589530486838,-0.6992980571174179,0.49428269056232554,0.4856151921582992,-0.7013006677635049,-0.7822959229949109,0.5590427453007836,-0.7370907861706205,-0.7138247406339769,1.881215689919422,0.4986989030640908,0.47169733127000907,-0.7313437059012816,0.5858842098455931,-0.743053768290362,-0.6738627967707588,-0.7056061338691438,-0.7300886562472094,0.6001666169443552,-0.7186992473215571,3.3202284501365775,1.974391208518774,-0.73295214346569,0.712506438809123,-0.6540958724843816,-0.6626771501539072,-0.6952854642807845,-0.6679233138948358,-0.6469997452786572,0.7231594592138884,-0.6390662581540403,-0.6149567186406,-0.6425073146696588,-0.6049548887692174,0.7901708396273879,-0.6045515151950903,0.8181588679380506,2.3909012693900866,-0.5521386013157237,-0.6042192439245178,0.8508892100275974,0.858462419165914,-0.6237002888661692,0.7751013159341149,-0.5920986091770343,0.9926351266393896,2.6035168600900005,0.9962805720581205,-0.569437841919665,1.0484823352260115,1.008951443458127,-0.5808698383969096,-0.5870820719098077,0.958704275152138,1.0057600850634836,-0.5511602558535613,-0.5195127286811225,-0.5898029768634474,-0.554079476473777,-0.5163832049221899,-0.5775639739832445,-0.5541174407668051,1.1249965188101971,-0.5459822021548054,-0.6089330703108571,-0.5662064448863167
amphibrach_47,amphibrach,2.4850481977618504,-0.6992681637616716,-0.566550236583825,0.2855142149255326,-1.1438929599758216,-0.33293762037104413,0.42937241104711954,0.722602083920289,1.5486998509804186,0.7673745836351551,-0.03929695581088753,0.0019949182342378653,0.0472279313419012,-0.8648884382334302,-0.940573138674662,-0.9011041292765939,0.029560187782370004,0.07523057976551184,0.1253677767504934,-0.7158696379045666,-0.9099733267235788,-0.8003014252828753,-0.7969401488665969,2.4780909859420692,1.2399161622802926,1.449312667061828,-0.7677708014950669,-0.7860375980017122,0.3120362554617537,0.35819008566356214,-0.7347278799785846,-0.7032765849115737,-0.7568480585982564,0.39626104791986333,0.3797021782994709,-0.6992980571174179,-0.7463841734837174,-0.7288815785446117,-0.7013006677635049,-0.7822959229949109,0.4648417795058987,-0.7370907861706205,-0.7138247406339769,-0.7302696390113125,0.4175104652426508,-0.661139693003372,-0.7313437059012816,0.49267305062213446,-0.743053768290362,-0.6738627967707588,0.5112723105610101,0.5769608601689258,0.510587210526733,1.7242656841686466,-0.6537211563404066,-0.6907252411719799,-0.73295214346569,1.9240322696118402,-0.6540958724843816,-0.6626771501539072,0.5699838088438268,-0.6679233138948358,0.5934979634536688,-0.6920867640573873,0.6366049409355815,-0.6149567186406,-0.6425073146696588,-0.6049548887692174,-0.6474657995443855,-0.6045515151950903,-0.6637778854433288,-0.6134672116298091,0.7167449549217874,0.7844747584593348,-0.5506432840720606,0.757868446058824,0.7856646601296466,-0.5469763479150165,-0.5920986091770343,-0.613863991680186,0.8802800943634006,-0.5899357274961476,2.2498782846236525,0.9331365060417963,-0.576306079758194,-0.5808698383969096,0.8457440009544802,0.851180866471579,2.3697208230670292,0.8280325878066791,-0.5195127286811225,0.9932327154963311,2.394283748150833,-0.5163832049221899,-0.5775639739832445,-0.5541174407668051,-0.6017527680364009,-0.5459822021548054,-0.6089330703108571,-0.5662064448863167
amphibrach_48,amphibrach,0.3100259543096016,1.1083437348753027,-1.2005567153430956,-0.489214201483115,-0.4591637533931797,0.3430127305086939,-1.1036751774305469,-1.0257746685691564,1.4502541477541548,1.5188115218047693,-0.07379682262538774,-0.03677750448390003,0.8816810432136168,-0.8648884382334302,-0.940573138674662,0.004245689120138075,-0.009001151789021207,0.03720389078491151,0.08733380461638413,-0.7158696379045666,0.12963248812119588,-0.8003014252828753,-0.7969401488665969,-0.8676345580642155,-0.8147544679088559,0.22360374344091805,-0.7677708014950669,0.1714205504331255,1.185507925426236,1.3514285052205417,-0.7347278799785846,-0.7032765849115737,-0.7568480585982564,0.35053136997673917,0.33445287721745964,-0.6992980571174179,0.3601565430978885,1.437518066493013,-0.7013006677635049,-0.7822959229949109,-0.778610968986582,-0.7370907861706205,0.38751707404820024,1.59889295165664,2.430544866793707,-0.661139693003372,-0.7313437059012816,-0.737714251127519,1.6241592446109239,-0.6738627967707588,0.4619394006516796,-0.7300886562472094,-0.6718609541858805,0.4532636590014461,1.7091677988621248,0.4977726350414645,-0.73295214346569,1.8177486566304761,-0.6540958724843816,-0.6626771501539072,-0.6952854642807845,-0.6679233138948358,-0.6469997452786572,-0.6920867640573873,0.5848885409724888,-0.6149567186406,0.6412566905406812,-0.6049548887692174,-0.6474657995443855,0.7020299014424758,-0.6637778854433288,-0.6134672116298091,3.100188391638193,0.7281763529572868,0.6993721836384453,0.7040370766663813,-0.6237002888661692,-0.5469763479150165,0.6711611440938109,-0.613863991680186,-0.6162149916623305,-0.5899357274961476,-0.569437841919665,3.7930895788417676,-0.576306079758194,-0.5808698383969096,-0.5870820719098077,-0.5681281281117987,-0.5818007739242498,-0.5511602558535613,-0.5195127286811225,-0.5898029768634474,-0.554079476473777,-0.5163832049221899,-0.5775639739832445,-0.5541174407668051,0.9383209202321866,5.047376079297725,-0.6089330703108571,0.8611095223310999
amphibrach_49,amphibrach,0.8189524873600728,1.6293197793536562,-1.2005567153430956,-0.3369735524847795,-1.1438929599758216,0.6438334507893102,0.6806916878467371,-1.0257746685691564,1.0046483690341805,-0.9435895217356584,-0.89029367056856,0.15877957840594317,0.1960937227558524,0.21265181728568797,1.3375067766666757,-0.9011041292765939,0.18549128768854228,-0.8627610817559636,0.2791663525933398,-0.7158696379045666,0.3511878257110659,0.30983903006149943,-0.7969401488665969,-0.8676345580642155,-0.8147544679088559,0.4644658546825829,0.38596968414108596,0.37546900829628765,-0.6385064442054771,-0.7226870179719747,-0.7347278799785846,0.490273802226636,1.8979636276458591,0.5811788712964312,0.5626774941502267,0.5733188242155023,-0.7463841734837174,-0.7288815785446117,-0.7013006677635049,-0.7822959229949109,-0.778610968986582,-0.7370907861706205,0.6222292640624347,0.6825011127053143,6.830066095139339,-0.661139693003372,-0.7313437059012816,0.6943758869745367,-0.743053768290362,-0.6738627967707588,-0.7056061338691438,-0.7300886562472094,-0.6718609541858805,-0.7186992473215571,2.2127342975118447,-0.6907252411719799,-0.73295214346569,0.8280914078859746,-0.6540958724843816,0.7861526899824379,-0.6952854642807845,-0.6679233138948358,2.2407162324261014,-0.6920867640573873,0.8457313670158475,0.8281375247525711,-0.6425073146696588,-0.6049548887692174,-0.6474657995443855,-0.6045515151950903,0.9396290936250489,-0.6134672116298091,-0.5521386013157237,-0.6042192439245178,0.9657689226587169,-0.5699719989547638,1.0167080943912556,-0.5469763479150165,-0.5920986091770343,-0.613863991680186,-0.6162149916623305,-0.5899357274961476,-0.569437841919665,-0.5894284391898431,-0.576306079758194,-0.5808698383969096,-0.5870820719098077,-0.5681281281117987,-0.5818007739242498,-0.5511602558535613,2.729820216500115,-0.5898029768634474,2.8776219816958513,-0.5163832049221899,-0.5775639739832445,1.1109040509743577,1.2665333456009018,-0.5459822021548054,-0.6089330703108571,-0.5662064448863167
