sample_id,class_label,N,V,P,A,D,J,R,X,T,C,I
amphibrach_1,amphibrach,-0.9557794327564746,-0.3698188185976025,-0.1078931318759334,-1.848419985480612,1.6360249811520755,1.8738886562966302,-1.579657325886064,-0.5974303439676444,0.8982866088638272,-1.4009066693575831,2.2162813856296264
amphibrach_2,amphibrach,-2.7877466511868527,-0.32706849763999285,0.4775649916019266,-0.8783063837952684,2.1274717925564874,1.7373049338915627,-0.051866869720874155,-1.3349226586502774,2.4719736154364305,-0.8827623090002039,0.9553317005534382
amphibrach_3,amphibrach,-1.7047404062509173,-0.3905936685793327,0.5411504791565006,-1.6972009306377027,2.355182081674511,1.721214481850078,-0.8268827271916759,-1.2357268677516005,1.2057327920838108,-1.2921880242390105,0.7142574418726585
amphibrach_4,amphibrach,-1.2665611356448927,-0.06890262094510977,1.0530323815680103,-1.6895652367870082,0.7964509055352716,1.5052398038094152,-1.6385391734467811,-0.6924304831410126,2.3778217397373758,-0.9164898093435554,1.253909325902891
amphibrach_5,amphibrach,-1.2122745054023605,-1.5530082623196,1.5549536403774178,-1.3985019761899977,1.526121419349614,1.557568227455411,-0.9039533018018167,-0.9651119091845646,1.5296560055122599,-1.2650186290183363,1.609464353483605
amphibrach_6,amphibrach,-1.6485004874458073,-1.6875053134573323,0.23102285164651531,-0.5352322785556801,2.783990632818666,1.1660950402296373,-0.6212994965661058,-0.6866304250558947,1.7374044263791895,-0.15049931849880416,1.1395229988857434
amphibrach_7,amphibrach,-2.765733658538953,0.04315167275453607,0.6739581138040136,-2.3036635089644486,2.155947296440606,1.965831221825806,-0.7699650478563523,-0.07238999955197412,1.496303277266113,-1.0988620870321182,1.5887133609758757
amphibrach_8,amphibrach,-2.5355945587098496,-0.2024512634048822,2.3203078551972607,-1.4829596894643613,1.1694905832604434,1.565848078130312,-1.8689860394913755,-0.5183349009120795,2.1339866867703967,0.5117001209718777,0.7435508785018743
amphibrach_9,amphibrach,-1.90404816992978,-0.889485393914171,0.07045031485754447,-0.48134611284245143,1.2195496183297887,1.8498209684450793,-0.17983261419141067,-1.3029489876601044,1.790808366174649,0.3506640656214442,1.7881445966940208
amphibrach_10,amphibrach,-2.030422268522755,-1.2387798542880304,1.8731426018546742,-0.9874336951072525,0.8052446819731582,1.6452128576540395,-0.6432493018848107,0.2393610824614617,-0.3564216946714407,-0.2942833185429248,2.0587316384817225
amphibrach_11,amphibrach,-1.8713760703824582,-0.8621282845824159,2.053069545113626,-1.1597588456497356,2.1339378733410572,1.7199036397999075,-1.5300144239310958,-1.2982813875517367,-0.577706302898382,-0.719949936449483,1.1061684915914258
amphibrach_12,amphibrach,-1.7914153616957793,0.02204220633221101,1.3939261144304191,-3.006279477357306,2.0480662517750514,1.465172102431206,-1.7103059927526871,-1.069725834272919,2.2982236369642672,0.3546693150846702,2.3081817348458173
amphibrach_13,amphibrach,-1.3000053196914516,-1.4143692744102279,0.5113687027176437,-0.7356193566135946,2.1080118693219463,1.5961828668118256,-1.8664838292402424,-0.8597525413173585,0.8916788830925266,-0.20035187453224895,2.9679278370188467
amphibrach_14,amphibrach,-1.7837115317753969,-1.1014638777211054,0.743918832637055,-1.599463405201025,1.7449048746960194,2.4336744219469204,-1.1052031537585267,-0.9211712140100377,-0.7916365946928727,0.5705843570909986,2.3509634903648813
amphibrach_15,amphibrach,-1.9999073421183051,-0.7963827982824263,1.6103423463430797,0.09179818958935929,0.902886628744284,2.3675228493149363,-1.8986999706073273,-1.306776457201053,0.12214810804376831,-0.8604260998059422,0.46059011715100917
amphibrach_16,amphibrach,-1.2331844701394818,-1.6383583593683613,1.7662244962042906,-1.306885791642166,1.8803704718607963,1.0249194307148166,-0.9406375711333032,-0.8105717519688153,1.5007308556815622,-0.029194780122331034,1.2501152393413653
amphibrach_17,amphibrach,-1.1909993308247937,-0.8875626875979071,-0.48480837564177637,-1.479598909422798,2.3741304776575602,1.9065372995082064,-2.0188105314169986,-0.4100734630079597,1.3387158359074116,-1.0631892432694103,2.6853804313546217
amphibrach_18,amphibrach,-1.2162662467841598,-1.8156415595355435,-0.2371144753559925,-0.7950457337984567,1.9554709524310998,1.8400600696377467,-1.0143319500795338,-1.081215957975405,2.0118604134069558,0.04166258071813782,3.0655874345135357
amphibrach_19,amphibrach,-2.3495561882423157,-1.0535724357956315,0.5720093839882985,-1.8709473403986776,2.8888621271236787,1.659667604634487,-0.7861157000044733,-0.5635150726173969,2.12865631690879,-0.14460715433749552,1.6672722474849186
amphibrach_20,amphibrach,-1.115428635635559,-2.6816517894758762,2.5320585801341147,-0.5839235847901229,0.8489352658437259,1.8474056101634408,-0.6831385200387802,-0.945851419247081,-0.31771559848267683,-0.8937938471009029,2.1473258736366994
dactyl_1,dactyl,0.3657084489847801,0.9297584148865592,0.34916702011452183,-0.3564094299019111,0.5665189616980248,-0.5950099894508468,-0.03810813503443637,-1.0843937032551099,-0.7047107640574951,-0.6763526734808794,-0.35631049687736166
dactyl_2,dactyl,0.3295423008697165,1.5907119024296552,-0.4851019611717466,-0.737987979814235,-0.8519526769459842,-0.1240144654563707,1.3387346970822902,-1.048622865703956,-0.43722840248202194,-0.26065266147802535,-0.3770380434696207
dactyl_3,dactyl,0.41707028772533006,0.9398719306010596,-0.9004160815579024,-1.2353131141108717,-0.4700338990078868,-0.690480404644185,1.762652667764041,1.1212633782382626,-0.9809649029309968,1.1583752140657895,-0.9873503699821126
dactyl_4,dactyl,1.386071909935496,1.286851080365062,-1.0459515470818168,-0.9397497304825942,-0.20726064614214657,-0.8932291558708454,1.1789492939518442,-1.1242695597580348,0.9489359293329157,-0.48645798710098004,-1.229733617259468
dactyl_5,dactyl,0.8198418056854346,1.1362123087320746,-0.8544454280427749,0.8932850835295699,-0.9834743199189956,-0.8523655255666551,1.7674709739157932,-1.9416876060187975,-0.04450230304350072,-0.30745558310459614,0.6419481835596756
dactyl_6,dactyl,-0.3854001139696276,1.3686033958450008,0.7220783688980661,1.0285383784571278,0.262358312452079,-0.32244531429057577,-0.8836127614186602,-2.003632133202746,-1.3110199996679566,0.46456372506371457,0.30249423993948804
dactyl_7,dactyl,0.7158334583219842,0.5317565522831372,-2.0449027969873037,1.3947731100704186,-0.6400893256832411,-0.786821873494882,0.8896504405408493,-0.09519432440084405,0.8389258213250125,0.876952472042434,-0.14944572450187188
