sample_id,class_label,N,V,P,A,D,J,R,X,T,C,I
amphibrach_3_1,amphibrach_3,-3.079121180731339,-0.15906955739654818,0.7350456387549262,-1.434891538046696,2.923422922283858,1.8076591461854081,-0.384711986101361,-1.1581768833029666,1.3429360810732813,-0.8735016722957741,1.999907985094852
amphibrach_3_2,amphibrach_3,-2.900568588285654,-0.663060109874724,1.7396506490587587,-1.2395613375059733,2.06146817053453,1.4024701409878753,-0.8461878162508143,-0.7592808751131905,2.3084373242094802,1.9230240077945149,0.9474196101517625
amphibrach_3_3,amphibrach_3,-2.135711704713021,-0.05017634678451989,1.7501315773216666,-1.9765644404707543,1.96235548369014,1.6448860372153693,-1.3417698639701092,-1.7879907294085062,2.9086786385450747,-0.4774575966680498,1.797939432794048
amphibrach_3_4,amphibrach_3,-3.4602462107663396,0.4271668890261571,1.6996980786943943,-2.197006819137507,1.9714169196519937,1.826874814208467,-1.035260296074562,-1.0359162458677906,2.513547284770895,-0.2612334779068836,3.567142077685485
amphibrach_3_5,amphibrach_3,-3.6142537710175513,-0.4726544257355493,1.380314851370026,-0.844023678776558,2.970831558497554,2.1267283622153497,-1.2400123202721363,-1.6416025778505179,0.8326397090662807,0.1727415118393907,3.027624616328738
amphibrach_3_6,amphibrach_3,-3.474911964838731,-0.23560004279035454,1.7901646053541966,-0.8471088185991907,1.9109236036193769,1.7316480453149785,-0.002429923495096552,-1.7322360752814552,1.3279476459920232,-1.2810937001217269,3.731009506222376
amphibrach_3_7,amphibrach_3,-2.209697089766522,-0.4681994872877805,1.0385109218555864,-1.174000401059689,1.6239870014168603,1.9927633311468151,-1.8345753993622678,-0.8871458345439117,2.157286285583786,-0.22573961734160083,2.0580727665976712
amphibrach_3_8,amphibrach_3,-2.16390804696874,-0.7374299435725403,0.9055250171844225,-1.572903663769862,2.2678606210840373,2.0150933921267997,-0.35044970863427666,-1.089255312042347,0.6465980067093251,0.14632574616934313,0.8489927703473517
amphibrach_3_9,amphibrach_3,-3.0912159891177,0.01718169966612526,1.6366136692703215,-1.0776994060658236,1.870858122586905,2.059039441282635,-1.3513582619369175,-1.5182657030892162,0.7056450533863268,-0.8346014786961876,3.437651323242128
amphibrach_3_10,amphibrach_3,-2.3803905213511785,-0.5517565885540007,1.324185489951611,-0.7156321199453634,1.7814230891917953,1.7917826554528853,-1.1751671008304243,-1.2981338762474868,1.1207704204904116,-1.453841818491651,3.0255253099823705
amphibrach_4_1,amphibrach_4,-0.37661611595425404,-1.2484946748790045,0.004514864015428731,-0.9766097220574227,2.140983956460265,1.3771307394623484,-0.09591880785611544,-1.005432880377845,0.18314697962114768,-1.3050439398032427,0.14502300231177773
amphibrach_4_2,amphibrach_4,-1.3261664836423193,-1.1066216540253189,1.3390259185501203,-0.5287463367167666,1.2875220939133467,1.4724913588861874,-1.8750014091934162,-0.479074893854875,1.4107157537118877,-1.1544960851858903,1.816525831908688
amphibrach_4_3,amphibrach_4,-1.1498098814225473,-1.0509690298625813,0.6246511440417035,-0.28309464705719994,0.9555709301875098,1.2082815328488379,-0.9975124188285839,0.643644046847425,0.56232501166113,-1.9290140733368093,0.9335341067828279
amphibrach_4_4,amphibrach_4,-1.754042030363723,-0.250379816581062,1.0188134390019346,-1.1843431795366628,1.3135421317583678,1.9602349463353121,-1.5856544472191108,-1.3600208717337383,1.3417056543731811,-0.710480424986142,2.3769628668005875
amphibrach_4_5,amphibrach_4,-1.038851513503021,-1.119096236510829,0.6887181335984824,-1.4808920666816225,2.14408183097491,1.0100000412037475,-0.6771166222260684,-0.4434778029368767,0.8300460500484119,-0.3705786822934822,3.0252921528657355
amphibrach_4_6,amphibrach_4,-1.1448312396505347,-1.584475074442329,1.2995420823344963,0.6277407601751521,1.0863896113539304,1.7677646950900516,-1.8084315845268368,-1.0103300857979864,0.061575143700475246,-1.943206609463814,1.5181810607212924
amphibrach_4_7,amphibrach_4,-0.5326426958323239,-1.5611896029123615,1.1423645234956727,-1.4773659152844691,1.7857245404989839,1.7420479582872301,-1.7045670888957307,-0.473393072924819,-0.3935869230480354,-0.3576960075990454,2.1288320795846323
amphibrach_4_8,amphibrach_4,-1.4493140247425722,-1.2366474777037766,1.285081692109567,-0.7290194309785579,0.9248843251989513,2.205099214495653,-1.4723842093427468,-0.2660617829046406,-0.18805047685980125,-0.05568006657481196,0.2818492173889002
amphibrach_4_9,amphibrach_4,-1.357083411368706,-1.6338661136579538,2.068841010849746,-1.0912848748862711,2.380290174115702,1.0881825055315526,-0.7725711991442233,-1.020080732514764,0.8373138581059907,-0.8411593371984543,1.5063307680975253
amphibrach_4_10,amphibrach_4,-0.7245031828793544,-1.3484560047545797,-0.4284527362788322,-0.43411193787640123,1.4264050339423795,2.1495059627203794,-1.6445526916507556,-0.7840408215608494,1.0862098491010852,-0.5134542929340941,1.6736566138048987
dactyl_2_1,dactyl_2,1.72258486652022,0.6291151575693864,-2.0431436582633165,0.7051303756716633,-1.2284785944770256,-1.3559951877109893,3.2062629326123187,-0.9686418467154428,0.5750304296871344,-1.5558188669175157,0.6250344449773669
dactyl_2_2,dactyl_2,3.5599776823197424,-1.8562028555443748,0.5424703261039293,-1.312814798983361,0.3349638247092779,-1.9134946193532671,1.7348445976111964,0.26726665370318015,-0.9205102851258297,-0.11017243773842589,-0.04435161365712448
dactyl_2_3,dactyl_2,1.8024543624072862,1.021637692987212,0.5105468213328399,-1.0637605608072287,-0.8076635474846182,-2.2517655743528797,2.6197142639452284,-0.06173040080549997,-0.946726336160218,-0.4874043060080072,-0.7449272146141988
dactyl_2_4,dactyl_2,2.121618353206422,0.9211570744029194,-1.5271272054429288,-1.5590670550633137,-1.5960557119003458,-1.0154910802644455,2.198095008365982,-0.04184261984001937,1.628400214884802,1.3143615323848785,-0.3922255434794028
dactyl_2_5,dactyl_2,1.5428385897750703,0.07507118271617602,0.012591078761321697,-1.0749921867125076,0.25378668085270323,-1.5096387997066516,2.308394580882833,-0.6132314049202962,-1.4008692269113128,-1.5239466054997188,3.1064447681952063
dactyl_2_6,dactyl_2,2.6074830876067328,0.34857095399701643,-2.6340491787892515,0.5366923749731131,-1.9293851282465928,-1.5465068803950686,2.3176538969851297,0.6651206416233781,-0.415410770940284,0.95702407267173,0.29701999971987786
