sample_id,class_label,N V,N N,A N,P N,P V,V N,N P,R N,N A,V P,J N,D V,V V,D N,V D,P P,J V,N D,N J,P A,R P,V A,P D,D P,N R,J P,V R,D D,A V,V J,D A,J D,J A,N X,P R,X N,A P,R A,A A,D R,P X,J R,P J,T N,X V,D J,A J,A D,V X,C N,X P,T V,N T,V T,D X,A X,J J,X A,J X,A R,T P,P T,X X,T D,R X,X D,I N,D T,T A,N C,X J,X R,T R,I V,P C,C V,I P,V C,R C,T J,J T,I D,J C,A T,C A,D C,C P,R D,N I,I A,T X,T T,C D,V I,P I,X T,D I,I I,I X,C X,C J,T C,A C,C R,C C,I T,A I,J I,I J,I R,X C,C T,R V,X I,R R,I C,T I,C I,R T,R J,R I
amphibrach_1,amphibrach,-0.35632025051555216,-1.2750025474765865,-1.7780253966066903,0.2286040931376267,0.17851641718412375,1.483145319323524,0.9231469044357083,-0.6338217044781383,-2.1955172699061256,-0.23178638781317842,2.569777469306589,0.3104223235400734,-0.3771783705804647,1.4612309434774742,0.1382330924347203,-1.7994599694555866,1.376279394665464,0.42047228359542654,1.717481794001905,0.5447819081143219,-1.921397899441725,1.1569947333496726,0.08298114652791067,-0.5137241628178842,-0.3523156937376551,-1.2019758340413849,-1.044427827919421,1.178406686200516,-0.8110016937667557,0.8123636595262163,0.47083801650308105,-0.04747922087626181,1.9288720195276112,-1.726646663642449,1.427825137333695,-0.5535064992875028,-0.7994104306766167,-0.4734789223461169,0.022736641174366565,0.3926781307836232,-0.26426450543446006,0.3617930349713027,-1.1008806426652176,0.19648680220495318,-0.06004815203507615,-1.333101318264684,0.703490769932988,1.277080154212952,-0.026704288337322205,-1.5271083407261181,-0.4018192838426454,2.42019734121076,1.0452734777014883,0.8076832963746238,1.6932731416452773,0.3036211036313342,-1.2523480657792891,0.7649977544158257,0.2248482019641431,-0.5769375331215724,-1.4661552854644209,-0.9898275333709468,0.12215331139072523,1.3011604513814528,-1.1139922366880297,0.06887842024593155,2.1178843681891197,0.7983167200870452,0.3793040020779622,-0.6278074833089464,-1.627777541405985,0.01031660259783518,1.1241398677620216,2.5974424248413124,0.31292726340267013,-0.2714069964738836,-1.2483940908814095,-0.8051019021442313,-1.2649645901378133,-0.6681355128777593,-1.3524419827800458,1.3800894755288302,0.8550132991397951,-1.1898293418746981,-1.1237047616641578,-0.4192258397282797,1.0609170423258507,0.9997819599352872,-1.1108755724094657,0.6189162104565024,-1.0620860254462758,-0.8810096992224782,-0.8865959721554237,2.122231051926613,-0.7350167209036366,-0.7209292280147764,-0.6812134181593051,0.46348425273557536,0.6204446246685741,0.6162323037377736,0.5707685526917274,0.6612094346266144,-0.6704240702644867,0.7041184794663254,-0.6066990421256147,-0.5820284525952278,-0.5659849623297881,3.4071165061540283,-0.6291437066187144,2.5392230280950714,-0.5619794347703324,1.4547069399865873,3.3530705698416234,-0.38895496613456043,-0.36902472058668445,-0.34202058511104017,-0.24431766129022625,-0.2355794126714011,-0.20530550923500682,-0.18993709501584496,-0.10780211242810202
amphibrach_2,amphibrach,-0.8846904630188953,-2.0642581083179756,-0.45605073136507734,-0.5239019957119103,1.3943991441193004,-0.19472865569054743,0.16797581086718133,-0.7786497620502925,-1.6607063572319654,-0.7879713888864508,0.659848719670717,0.8588446852961753,0.19966122950098536,0.35797376791411945,1.4147502049286163,-1.2811038500117338,2.2211111631409723,0.20031271244654192,0.6864484845588608,0.35968847955857075,-0.40959736429893984,-0.35854235218256225,-0.3024387804717448,0.10583059329700613,-1.479830625968524,-1.7958564008757743,-0.7327532502192952,0.9459106036472507,-1.577722144578546,1.5555818148011618,0.7111930903092318,0.7479127362071984,2.3897995312003433,-1.1145640681757532,1.361086364369524,-1.7697522583733276,1.7422049762174483,2.4183709929110564,-0.017996577066374878,1.2454147593111775,0.15614509763746667,2.1173889087880267,-1.119457340751602,2.9842354142129057,-0.6023743492884107,2.5509559004440225,1.1430764382702145,1.5360448216109468,1.163969995058239,-1.276313469800836,-0.6889652055952175,-0.8799045400534868,2.732265483247671,0.43997883116688896,-1.1284895564465995,0.2715320141384116,-1.5678290816507507,-0.6035513025567628,0.5406511983423955,-1.433082991453118,0.17031509474820755,-0.9990068432163393,-1.107621511191941,0.8321123548515642,-1.1184692984009412,0.04390392110858496,2.4594601184857736,-0.23659834402585495,0.35396814877921695,-0.6395710112880316,-1.1200920701550023,-0.010823642516849915,3.1501137431043347,0.6546912628291769,-0.31284856289236745,-0.8198545991640426,-1.2483940908814095,-0.8130254203199202,0.42290888528534415,-0.07354822745251398,0.5891877047755015,-1.29174424764146,2.1251254552836594,-0.49265672331581145,0.8879466128904613,-1.105690106480282,-0.43411862296430875,0.2760373023545125,0.5502195096779566,1.3527711607956485,-0.1651621069123699,0.04557060098168245,-0.8865959721554237,-0.8991933391888142,-0.7350167209036366,-0.7209292280147764,-0.6812134181593051,-0.560452460512199,-0.6884779144723486,-0.718718793466135,0.5554842935475992,-0.674266333725464,-0.6704240702644867,-0.6749678291565948,-0.6066990421256147,-0.5820284525952278,0.736247616675564,2.056758382547668,0.910564459609561,0.9494778274467326,-0.5619794347703324,3.3392183793060086,-0.4550508798055424,-0.38895496613456043,-0.36902472058668445,-0.34202058511104017,-0.24431766129022625,-0.2355794126714011,-0.20530550923500682,-0.18993709501584496,-0.10780211242810202
amphibrach_3,amphibrach,-0.981188008395917,-1.4042619329929915,-2.243709095594736,-0.4747261432879744,1.2116464768204294,1.6464914705200542,1.5061539309159018,-0.40428251294494066,-2.02148565868912,-0.11399365700428121,1.307761336312715,0.13534188932721156,-0.2731111153799179,1.3327424899522216,-0.08669198811643132,-1.4352617196746276,2.081970089734762,-0.22358715148968153,1.703983858050053,1.8757829634894416,-1.3535814806285253,-0.47290323125136613,-0.8896179627761148,-0.7679740551912559,-1.1027847884779884,-0.9798812789178888,-1.3632174629323504,2.4234420447556966,-0.06911876223040321,1.7331370839674756,2.431667358863066,-0.01687527391004703,1.383989413908395,-1.0082506772099096,1.0309651137510372,-2.3881498266898262,-0.06702160479839654,0.43616624137858845,-2.21146726065664,0.7026737066558223,-0.3582764767999771,1.8411774537681271,-0.9213874281503025,1.7035625482338732,-1.1498064233462881,-0.026793300225477507,1.524810566584672,1.124274842089619,-0.7288275299553749,-1.04784241284472,0.29894832662923654,0.806441932850443,0.2389930796148951,0.053228322994750256,1.2113288741316839,0.5559708256958621,-1.2755801880357558,-0.9619500403606376,-0.18654262372873692,0.9877083687312648,-1.1585655623127629,0.7165149128126086,-0.8201039762428217,1.606900905144465,-0.7889541050426796,-0.004182504255303265,0.47899035558114395,-0.7627987063133008,1.2619462235252026,0.6704609520113847,0.8475453657359354,-0.05152751462619897,0.02290885939876788,0.14591917257439058,-0.9302660041798917,-0.3117948522114702,-0.21849395661886203,-1.426714682895049,-0.7163267536998128,-1.2782774023942982,-0.09020103112672016,0.6374075474663586,0.7816321164666812,0.8496940843504974,-0.469823962022774,-0.44482374542512665,-0.4523486057058444,-0.43804041661821996,0.5089252454079405,0.5620099467539602,-1.0620860254462758,0.022536126798579862,0.05817321864983555,-0.8991933391888142,-0.7350167209036366,0.48926393452190425,0.532140189219615,-0.560452460512199,0.5716355644680505,-0.718718793466135,0.5260556598627142,-0.674266333725464,0.6686634960052561,0.6526930477494323,-0.6066990421256147,-0.5820284525952278,-0.5659849623297881,-0.5432495202421245,-0.6291437066187144,0.9109521298717955,-0.5619794347703324,-0.47910395470743505,1.3780083825446672,1.3229860552443764,-0.36902472058668445,-0.34202058511104017,2.6749975231810144,2.704836102258001,-0.20530550923500682,-0.18993709501584496,-0.10780211242810202
amphibrach_4,amphibrach,-2.018761965638502,-1.6938420194402608,-2.8708939881925026,2.0664459093332797,1.5720675707769367,0.753989597050908,2.516813996315003,-0.8020099266562043,-0.8319521281264234,0.03484570204361707,1.543709783246714,0.4209996238920668,0.5320938024285771,0.3836755228305238,0.6386673015557551,-1.8577788059910267,2.056158323081009,-0.3050449328980005,1.0316129902987372,0.28595004066767166,-1.8683750407883857,1.8381789415158607,-2.097577201414384,-0.21467545341457298,-1.0693968312753417,-1.8101956810178126,-0.4397389094620073,-0.10285874336174046,0.684759520621972,0.9989103536337849,-0.3348987573170039,1.0137345643292044,0.7861219303747922,-0.6786426158360501,-0.14201352482544602,0.1380272099981862,1.2385553599804544,-0.967461584401193,-0.25949811709495724,0.7402785135117174,0.5578276289862432,1.1764411797880117,-1.1410188731455464,2.4400609080994715,-0.8838139297039623,0.2752679119353165,0.15437487628877544,1.1642202244445972,-1.3115988711953952,-0.26398972167107077,-1.4908397035185488,0.548360023675905,0.9486541098412767,-1.2219551942595532,-0.4613221429411962,0.5840164975202876,-1.2695069959879353,-0.9520705299879224,0.8419332861404357,-0.2124595562139202,-0.5056376272180098,-0.6595119772678654,-0.21807605440167108,-0.05401299661918337,-0.7821064861272224,-0.9377473527942253,0.8787650881365952,1.715926082931241,1.774233409594001,-1.5506752267003976,0.3725320026724111,-1.1105666902388516,0.5452452548623772,2.025410122275292,-0.9243175991325343,-0.8278666468386319,-0.7282298675418402,-0.21772943657450336,0.9518078101479268,0.5017355705452031,-0.07742013854213801,0.6569412837473206,-0.4749715944747136,0.18362048261717118,-1.1237047616641578,-0.43813210547924614,0.9995448686760389,0.25515435894184,-0.2927744708224646,-0.9071506892654335,2.4718450719607055,0.03168503147680043,-0.8865959721554237,2.039016447392044,-0.7350167209036366,-0.7209292280147764,1.770065558594868,-0.560452460512199,0.5843949152066127,-0.718718793466135,-0.6283062291960038,-0.674266333725464,0.6822225033591418,2.00724053617644,-0.6066990421256147,2.0859974110340476,-0.5659849623297881,-0.5432495202421245,-0.6291437066187144,-0.6002494266160607,-0.5619794347703324,-0.47910395470743505,1.396569128416986,1.3403204114754312,-0.36902472058668445,1.763499699157352,-0.24431766129022625,-0.2355794126714011,-0.20530550923500682,-0.18993709501584496,-0.10780211242810202
amphibrach_5,amphibrach,-1.785937875421206,-1.218461444431803,-1.1254364112384632,0.08392669721592325,1.744541985566187,0.12205708923245771,1.7798951728264005,-0.11533992490901532,-1.387865250645942,-1.0897030467748274,1.5072247449509069,-0.07885747351491844,-2.331765154982067,0.9111619381048355,0.3975235413105203,-1.48983200816728,1.2641893796389174,1.1060276816493597,0.42278721717289675,1.967398425206988,-1.3170031203033838,0.8705629311428219,-0.9849996198186307,0.586228424782097,-1.2078664621507076,-1.1439177975490102,-1.8480672224597157,0.401763673244394,-0.3627996395410803,1.813421257093494,0.5269760536483679,0.36718971461801764,0.927618582323793,-0.824556520051825,1.5088208579923796,-1.206518495606418,1.0458986705280378,-0.33650802309060185,-1.2227169475193822,1.6418196056321523,-0.5475185673235908,2.602084035024297,-0.898089225643885,0.599729628131555,-1.12859402441707,0.5632066628748857,0.870819002509354,0.257081896533236,-0.09262466467408352,-1.5458081482347206,1.6377670836562694,1.7251382426284994,2.332683621999556,0.4110419652330101,0.5739063018837294,-0.45806087096114356,-1.571205888455041,-0.6181998092341752,0.5143401621940795,0.6213285706267555,-0.500379815880228,-0.30366710810524633,-0.8117051408015447,1.2292190636340314,-0.7793284525241074,-0.45560408099387123,2.4170236684057214,0.738435749726692,0.8176110402055337,-0.6495750022665325,0.882777696663128,-1.1083804233271806,0.04434457783063603,0.6338966824491069,0.8655739774304163,0.7605891052151229,-0.7261145189312684,-0.212812863795648,-0.7085177564345303,0.5089743382269416,-1.3524419827800458,0.6648659910730172,0.16810991272682346,-1.1898293418746981,-1.1237047616641578,0.23485540345998437,-0.44217048365938233,-1.1174758675343723,-1.1108755724094657,0.582921139214586,-0.17501039719314068,0.03539668145931066,1.0298370183840775,0.08419285615728038,0.4898604664782259,-0.7209292280147764,-0.6812134181593051,-0.560452460512199,1.8676205129187495,1.888208888019497,-0.6283062291960038,-0.674266333725464,-0.6704240702644867,-0.6749678291565948,-0.6066990421256147,0.7574095013089365,-0.5659849623297881,0.742480292605532,-0.6291437066187144,0.9324617087563319,-0.5619794347703324,-0.47910395470743505,-0.4550508798055424,1.3473528448939345,-0.36902472058668445,-0.34202058511104017,2.716549386319076,-0.2355794126714011,-0.20530550923500682,-0.18993709501584496,-0.10780211242810202
amphibrach_6,amphibrach,-1.4599301598645793,-2.55433503467673,-1.0698939371216727,1.1122684995065848,-0.23387801851603168,-0.5015821965799145,1.1315461932750033,-0.8237412310482591,-0.7337732784090927,-1.388681284174018,0.9830663420372812,0.781007468812695,-1.2981918177811596,2.331678321555886,-0.18822024117513403,-1.636228439611008,2.5723627710474535,2.3365482469430012,0.17171236229287234,0.13704717911486355,-0.7271948341688994,0.09142103417020389,0.3536776006310138,-0.4112258977909777,-0.8518893411752424,-1.6962612065159928,0.1873821785442532,1.1299878222276094,-1.7477464356177153,1.5758735325732809,2.307784331680315,-0.4176126768694301,1.108890705709353,-0.6345820434498592,0.9652281753254511,0.6019951772575559,2.6245666536950822,0.3397365621638305,-0.7979211405988615,1.7109520358700079,-0.28715556665725434,0.34044489994631594,-1.354802990431997,1.5885115664041105,-0.3391398487523731,0.052847731647424935,0.9163313712538081,1.552227645989028,-0.05208007298065468,-0.4868281695743753,-0.947419413002807,0.6034282548920714,2.403933991777716,1.1110645651892823,1.3103573642768822,0.9935017100438992,-0.9493229974971036,0.07093136282136606,-0.13763498041561134,-0.17344180706232212,-0.1517320784644665,-0.6395695207819476,0.10824023655810862,1.2734669025295022,-0.07305038441030628,-0.9196612849346277,2.0858941650318092,-0.23101250649488,1.3460526763390466,-0.6361868024812997,-1.1182063213967444,-1.1003604419744377,1.617181097067154,1.1369461922307975,-0.30837314509877223,-0.2812410725486416,-0.7183546903756741,-0.19477717849330436,0.9938926349160424,-1.2782774023942982,-0.053214193500890045,-1.29174424764146,0.8371456475974146,0.20969505625589427,0.22237754482004476,-0.42545869728855373,-1.1674343803415657,-1.1174758675343723,0.5563894872837293,2.1172707933861292,-1.0620860254462758,-0.8810096992224782,-0.8865959721554237,-0.8991933391888142,0.5080592195718071,-0.7209292280147764,-0.6812134181593051,-0.560452460512199,-0.6884779144723486,-0.718718793466135,0.5598813693646412,-0.674266333725464,2.0862283360720704,0.6915968538824608,0.6536970164406203,-0.5820284525952278,2.0481542305228877,-0.5432495202421245,-0.6291437066187144,-0.6002494266160607,-0.5619794347703324,1.4371486074718252,-0.4550508798055424,-0.38895496613456043,3.800645141987359,-0.34202058511104017,-0.24431766129022625,-0.2355794126714011,-0.20530550923500682,-0.18993709501584496,-0.10780211242810202
amphibrach_7,amphibrach,-2.6980677909131248,-1.7553086682362349,-1.55430908092714,-0.4091276876062892,1.290642323100483,-0.2730313489478657,0.4552979075459358,-1.0115626820329715,-1.8618630259938183,-0.4387300866080194,0.9346758561987765,2.3049654689891415,-0.013344730334826008,1.1796793510063774,1.9558927883449746,-0.8791105664662323,1.9642675318595466,0.925916857373686,1.2298014911246493,0.04020273907066508,-1.2248618617206728,0.2699489179975559,0.55096719774711,-0.09184547572437438,-1.6805013206707407,-0.11899863047379569,0.6145892902758092,-0.2727756907254659,-0.033633681538695205,1.6207874032352436,1.0681253681160479,0.1776392349623131,1.033901743238629,-1.45538384625292,0.6635813080257644,-0.6415422678042088,-0.6717123471902819,0.8789293840621989,-0.6530479185535535,1.3933803586991922,0.10620774536221668,2.223194882065067,0.0347580721690147,1.0436104067022804,-0.6369684050162878,-0.27880787729353784,-0.08457285505860733,0.2384209445375537,1.0963104239207566,-1.2940302416448928,0.06083373480636557,2.5688555928758383,0.9417593721506958,-0.252425726835079,0.21659661510538086,-0.11968341704907921,-0.061457091517190594,-0.6261997122790569,0.49997107032470356,-0.6268259676733428,-1.1533920144318752,0.03724787967289694,0.07693888566649568,0.7882955463839749,0.9208575884845395,1.437173830985053,0.4942239096242062,-1.247662699910555,-0.6438397733922823,-1.1028568249455726,1.8656895008643175,-0.0386201402592422,1.5532706229123996,0.62254026021693,-0.33330330856662405,0.22219982420855636,-0.21016816733622223,-1.426714682895049,-0.15881845911406794,-1.2782774023942982,1.1924480199874514,0.004753886823347182,0.7969473709931673,-1.1898293418746981,0.1946288796499984,-0.4394812526114229,0.27429878210102826,0.9373083053656489,-0.2944278683600293,1.3144054705359216,1.5830056922672966,-0.8810096992224782,-0.8865959721554237,-0.8991933391888142,1.6998846564383192,0.4990472260541329,0.5419490300230015,-0.560452460512199,3.122423075597202,0.5768420733028967,-0.6283062291960038,-0.674266333725464,-0.6704240702644867,0.6634259570211058,-0.6066990421256147,0.7492884142804148,-0.5659849623297881,-0.5432495202421245,-0.6291437066187144,2.4465870179115976,-0.5619794347703324,-0.47910395470743505,-0.4550508798055424,3.0626059937030052,-0.36902472058668445,1.7592444035141255,-0.24431766129022625,-0.2355794126714011,-0.20530550923500682,-0.18993709501584496,-0.10780211242810202
amphibrach_8,amphibrach,-1.347304790373307,-2.0397743121419283,-2.1039360230122677,0.497519468378711,1.5148596899371356,-0.5823760949768546,1.748901066282752,-0.9953069753006489,-0.31658364471920586,0.4242182191011044,0.4702242444948575,-0.6310179882893253,-0.10285105154933843,1.8026359467177895,-0.28997864173229254,-1.6769060539029499,1.8982781745666917,-0.3005602879201441,-0.010896276403549043,0.05325803801746626,-2.191461117509141,0.143066711424494,0.880586547774549,-0.4728795957500263,-1.0666965616275623,-0.4888380301256444,-0.9692985681797803,1.1979286743074107,1.0439328889602526,1.0028879052269337,-0.6151554139870342,0.022616703712005175,1.4268129086373231,-1.451002528580973,0.8800966931651826,-0.052576616612973984,-0.02804924483165855,0.2723058546377283,0.3260064948628227,-0.8026494645159892,1.2297261377230657,1.1790077416906357,-1.1398699200066627,2.2122438945049887,-0.8823900828976752,2.4758252207015903,0.6260161594718545,0.2471011490153721,1.711877491658138,-1.0339202488106365,0.8462713585481634,0.5507115917525472,-0.07286474861415981,0.7273408640175378,1.2483159363318186,0.23627165304242548,0.2468662055098251,-1.6088574962066995,0.844120181432641,-0.6221701274619407,-0.8280754650160352,1.7943701962290555,-1.410182157674263,-0.05263894447590081,-0.7815526811308658,1.4466157021024426,1.261619721106439,0.2362318298768355,0.32612842661490565,-0.20340802855515583,-0.12632914325147745,0.5039857523202642,2.576882752163728,1.0945673954476123,2.0456333219308904,1.2807869630033932,-0.7278081697523472,0.3882333753733503,-1.2649645901378133,-0.6844587251631633,-0.07638647673083862,-0.6416558032422032,2.079187205858846,1.5592972221061898,-1.1237047616641578,-0.43759091536899,2.4471256560214028,0.2562671519912734,-1.1108755724094657,2.063328942864577,-0.1778870104991906,0.03242495424185857,-0.8865959721554237,0.08100392646017103,-0.7350167209036366,0.5025088536092535,0.5454196976911313,-0.560452460512199,0.5854268348091087,0.5805181681822575,2.8726810646577974,0.6254812624696475,-0.6704240702644867,-0.6749678291565948,0.6312173137341287,-0.5820284525952278,-0.5659849623297881,-0.5432495202421245,-0.6291437066187144,-0.6002494266160607,-0.5619794347703324,-0.47910395470743505,-0.4550508798055424,-0.38895496613456043,1.6786262881317808,-0.34202058511104017,-0.24431766129022625,-0.2355794126714011,-0.20530550923500682,-0.18993709501584496,-0.10780211242810202
amphibrach_9,amphibrach,-0.5658515641890145,-2.1120774366537773,-1.619523027459037,0.35534575921338474,0.4501647551995175,-0.4493407156453268,0.5223982363162436,0.6284155226032272,-0.6718707332870454,-0.9229604957335923,1.6996297912389768,-0.7026419673731952,-0.28575791898148595,0.4145374046992485,0.6785957614988909,-1.6650394893647018,0.45792531204211595,0.7027520386023519,0.11651361614443374,0.9102630315091389,-1.5293408072008858,-0.5422527603046837,-1.9210054303238737,-1.373816903695416,-0.4397389939201759,-0.8561564599478905,-0.23394225009267333,2.2045641250164363,1.4299667780749703,0.551193613914415,2.096716259121509,0.3753243144764395,1.8325977316236128,-1.5984680709838766,1.1098388604281169,-2.1748137035093036,2.1198220566214725,-0.5375692195405687,-0.632511634038498,1.207254604824479,-0.09447013166576966,1.9036157647847032,-0.6570572439975813,0.8388754958855118,-1.3779500670213376,0.01750809220723763,3.0020825564380242,0.5717613120465046,0.2167616514004998,-0.7685461269846127,0.862774614353847,2.317123862553918,0.2830330988336912,-0.23659040724639396,-1.1378104485062241,-0.4544835301854238,0.8676736378038291,-0.28497668121326136,1.197674881640629,-0.6134530979544828,-0.49773484110578153,-0.653091150747006,-0.8104857499766205,-0.04365301300830839,-1.121577947266512,-0.4526806758644188,0.892726979137098,-0.7468633969282328,1.7949092528891242,0.2551971872220751,-0.6215093538897748,-0.02550237674205008,1.5780169480601327,1.1069302327436183,1.467470041659479,0.2350498339826365,0.32163704289046907,1.006035580483457,-0.7073840016796334,-1.2782774023942982,-0.71103429463347,-0.6382119769271297,1.4543046400468695,0.88293814997764,-0.4591657582796382,0.909225180159764,0.2860488486246028,2.3350750994274936,3.0046330254273426,1.3325110627103416,-0.17320298963761274,-0.8810096992224782,1.0337417310787382,2.056976164913932,1.7197290034419213,-0.7209292280147764,1.7850489264234386,-0.560452460512199,3.153481763372829,0.5874008415732229,2.8912274521150505,-0.674266333725464,-0.6704240702644867,0.67433381183918,0.6377751428401501,0.7601385924945602,-0.5659849623297881,0.7450999540009022,-0.6291437066187144,0.9355845920802365,-0.5619794347703324,-0.47910395470743505,-0.4550508798055424,-0.38895496613456043,-0.36902472058668445,-0.34202058511104017,-0.24431766129022625,-0.2355794126714011,-0.20530550923500682,-0.18993709501584496,-0.10780211242810202
amphibrach_10,amphibrach,-1.3412118278802667,-1.6603640511445814,-1.0229709305920036,-0.38216775686386817,1.2316833904971274,0.8407172919114139,0.9631936210495458,-1.1510330518076397,-2.0460801696528295,-0.5161671661195487,1.1791443261950199,-1.9488400248232323,-1.5626470720199837,0.6548851953445844,0.5791509504172891,-1.234783570734207,2.319469572893663,0.16353868614331782,1.0964238380695195,2.644360449774214,-0.57132383808515,0.1611521325478421,-1.1858389436991281,0.5800343323275811,-2.054125162975276,-1.1948385514440854,-0.47644281977655334,0.3658845603885184,0.3051094524823733,0.01658884046785325,1.7999575494405526,-0.2021676071044227,0.6322715720754721,-0.9216028075434687,0.18955590745634313,0.059685461116199746,0.7436724739711366,1.669578780014422,-1.1664160343013181,2.0041210761809527,4.35232416513709,2.7346418971106967,0.3699064237075725,0.44776895193030997,-0.5665644355349513,-1.0429886493667304,-0.010489655872057534,1.6126074113673312,-0.6377655910618679,0.3349385044042318,0.14272035384834844,0.344585679130207,1.0614197083913444,-0.5193502467554004,0.30041347799299767,-0.046081973635955356,-0.3106485657171773,2.1349803241955825,0.931098680321146,0.28010471109650337,-0.12899381705376986,0.09865599446924844,-1.410182157674263,-1.3111770680814718,-0.759526419776815,1.062049766909517,0.9542667885746273,-0.7202574309992891,-0.6099412120834752,0.7671129028841985,0.4386510210750022,0.017949803263350595,-0.4354061906250987,2.1333183712511383,-0.2916749056546642,-0.26642206627950327,-0.17367821855890186,-0.1777671627421507,-0.11994135660109952,-0.05237725450374623,-0.035275065029671746,0.050321185273156294,-1.1128648684596187,0.9384432208891671,-0.44137057157812803,0.27355734496035183,-0.42123190254177956,-0.4084750246118268,0.5794103019154762,-0.9071506892654335,1.67597125891497,-0.8810096992224782,0.09928451398194721,0.11258350363798347,0.5252230296285808,-0.7209292280147764,-0.6812134181593051,3.5541451102123296,0.6264689543466284,-0.718718793466135,-0.6283062291960038,-0.674266333725464,2.1242909006783908,-0.6749678291565948,-0.6066990421256147,-0.5820284525952278,-0.5659849623297881,-0.5432495202421245,0.9376220926562505,0.976711528145744,-0.5619794347703324,1.4636073248575636,1.4577733044209942,1.3974805599403637,-0.36902472058668445,-0.34202058511104017,-0.24431766129022625,-0.2355794126714011,-0.20530550923500682,-0.18993709501584496,-0.10780211242810202
