sample_id,class_label,1,2,3,4,5,6,7,8
amphibrach_1,amphibrach,1.7895652070967243,-1.3615290628121357,0.46813809076587637,-1.1769086912731845,0.07149579714170075,-0.5501671587565209,-0.13324906513258808,-0.07669649888473705
amphibrach_2,amphibrach,1.8242169768592682,-1.3510424206645,0.4359392775838948,-1.2416403183793807,0.5075713653314137,0.9890530369522962,-0.13324906513258808,12.96170831152056
amphibrach_3,amphibrach,2.087779357020316,-1.4157278644401041,0.32464384271747276,-1.3213705723666969,0.906517715063735,-0.5501671587565209,-0.13324906513258808,-0.07669649888473705
amphibrach_4,amphibrach,2.1396303979992473,-1.459633338821504,0.29840547443955456,-1.2130422486094896,-0.4205547465939326,-0.5501671587565209,-0.13324906513258808,-0.07669649888473705
amphibrach_5,amphibrach,1.8741068386330864,-1.6758942128613648,0.7556924872612673,-1.2123671843417254,-0.41599370889046905,-0.5501671587565209,-0.13324906513258808,-0.07669649888473705
amphibrach_6,amphibrach,1.9526806171182538,-1.3776145305467975,0.34712250276380285,-1.2098987078040684,0.9715346599101218,-0.5501671587565209,-0.13324906513258808,-0.07669649888473705
amphibrach_7,amphibrach,2.1357815311296484,-1.5495381024471964,0.35572838139480917,-1.121340068891906,-0.4228237631649729,-0.5501671587565209,-0.13324906513258808,-0.07669649888473705
amphibrach_8,amphibrach,2.1147470542028506,-1.4882521361627146,0.3642398196100333,-1.2897868942739812,0.930875805724011,-0.5501671587565209,-0.13324906513258808,-0.07669649888473705
amphibrach_9,amphibrach,1.8609430705570424,-1.4664506445636394,0.52175454939247,-1.1656973627650087,-0.41370160988207655,-0.5501671587565209,-0.13324906513258808,-0.07669649888473705
amphibrach_10,amphibrach,1.834251003646366,-1.458396663558708,0.46782377147944193,-1.1286542774849593,2.389344812813953,1.011422326993739,-0.13324906513258808,-0.07669649888473705
amphibrach_11,amphibrach,1.9101822528019081,-1.42447906746646,0.4347060868566572,-1.1189689201742192,-1.7701658030487755,-0.5501671587565209,-0.13324906513258808,-0.07669649888473705
amphibrach_12,amphibrach,1.8480415596139026,-1.2940037175803913,0.3838461649667276,-1.2582015141903637,0.04029177138449182,-0.5501671587565209,-0.13324906513258808,-0.07669649888473705
amphibrach_13,amphibrach,2.060987434583589,-1.6444921320958872,0.605206375150504,-1.2897454219640798,-0.8695150440884634,-0.5501671587565209,-0.13324906513258808,-0.07669649888473705
amphibrach_14,amphibrach,1.8691497931868792,-1.4958928899858925,0.5162672176711903,-1.0852643157913981,-0.8568905377235496,-0.5501671587565209,-0.13324906513258808,-0.07669649888473705
amphibrach_15,amphibrach,1.9045440808054541,-1.5658914549575458,0.6102160648286227,-1.224539955217923,0.06706263648099463,-0.5501671587565209,-0.13324906513258808,-0.07669649888473705
amphibrach_16,amphibrach,2.193381409014004,-1.518882436965766,0.3229703437495527,-1.2132438820383236,-0.8713333161455837,-0.5501671587565209,-0.13324906513258808,-0.07669649888473705
amphibrach_17,amphibrach,2.267131064173306,-1.7850664936603045,0.5144040601306853,-1.1949621055444128,0.5075713653314137,-0.5501671587565209,-0.13324906513258808,-0.07669649888473705
amphibrach_18,amphibrach,1.846500050494873,-1.5387215699947805,0.6094410825801947,-1.162305510978105,-0.3950816484110168,-0.5501671587565209,-0.13324906513258808,-0.07669649888473705
amphibrach_19,amphibrach,2.0738405086041056,-1.6347289940679688,0.4608002296214318,-1.0375764384165962,-0.39696661640914954,-0.5501671587565209,-0.13324906513258808,-0.07669649888473705
amphibrach_20,amphibrach,2.1424252238079937,-1.4843342618111215,0.25040922171763946,-1.0718821439840949,-0.4090940548781136,0.9827790415893526,-0.13324906513258808,-0.07669649888473705
