sample_id,class_label,N2,P1,V2,J1,N3,A2,N1,R1,V1,D1,V3,A3,D2,P2,T1,X2,V4,X3,A4,N4,J2,D3,X1,I1,C2,X4,R2,A1,T2,C1,P3,C3,D4,A5,I2,N5,V5,T3,X5,J3,R3,P4,C4,I3,A6,X6,N6,D5,V6,C5,R4,T4,X7,A7,C6,I4,V8
amphibrach_1,amphibrach,-0.9893024558041604,1.2316659791998563,-0.9586122251818465,1.9016672101471157,0.15046063787832267,-1.3043872147575977,0.8805707252975924,-1.320082449118757,1.0015967462023168,1.820722652469062,0.7776409866937749,0.4588362450488716,-0.7713221910252005,-1.6466418159461769,1.5586936409531114,-1.2921859881732585,-1.3128007291573014,0.9678724449003259,-1.2321036071015619,-0.8911793075911956,-1.2169379162930856,0.37868557859129676,0.8193596582401464,1.9786501584563718,-1.0030151372302338,-0.9247140615739293,-1.0809624467165433,2.4237104942425365,-1.295357620640394,-0.7372010970914193,-0.3008198911223389,-0.40192602464329547,-0.6430755791296207,0.5746864992153693,0.479235604198784,0.030674750789281845,0.18043496070863876,-0.6760106505919165,-0.6996438600564782,0.5451212547505372,-0.4870375286715278,-0.45423373373567905,-0.4267634328513194,1.9125721408468506,-0.27162124091169626,-0.29811190067122273,-0.28543946811922594,-0.24839703006888686,-0.22371463882610973,-0.2057304077008284,-0.13363455495734872,-0.10848821611469997,-0.10835763684255427,-0.07669649888473705,-0.07669649888473705,-0.07669649888473704,-0.07669649888473705
amphibrach_2,amphibrach,-1.6764707564361254,1.5737733534025964,-0.5912616604786683,1.697180636913612,-0.04570562947165318,-0.8904956918268546,0.2301735705564879,0.22885249130745616,0.9600214335029285,1.9673581073438322,0.47247267411468,0.8225906874316429,-0.5200146675697667,-1.570651333819261,2.846470353860571,-1.4103904507180216,-1.2217959310557855,0.033440855833110406,-1.2883113922386191,-1.0826717558840802,-0.8294981706664698,0.6254037693394905,0.15889204753889513,1.0591298924933452,-0.38655498155538287,-1.1573151541413091,-1.341646749818361,-0.9709520855232459,-1.0353874429239447,-0.7498639136763297,0.7993844042034606,-0.4117140808784223,-0.6472868682908035,-0.322327594748713,-0.2728375786103534,0.020086177428095767,0.1698133949764406,0.37674516658647145,0.46974015612286524,-0.6277956716575946,0.7900741342613845,-0.45423373373567905,-0.4267634328513194,-0.34854515550199605,2.6237218588139046,-0.29811190067122273,-0.28543946811922594,3.602377010815597,-0.22371463882610973,-0.2057304077008284,-0.13363455495734872,-0.10848821611469997,-0.10835763684255427,-0.07669649888473705,-0.07669649888473705,-0.07669649888473704,12.96170831152056
amphibrach_3,amphibrach,-1.704332382957611,1.519520040032586,-0.5980994630153449,1.8040005876115304,0.13253763965376433,-1.1765897166105865,1.5371252385066554,-0.790248640724749,1.2399186908941169,2.6431092988042884,0.3573693831557075,0.5710832519995819,-1.0935028113500886,-1.2784706627641393,1.501729640887693,-0.5810287207893899,-1.2694374127342125,-0.6556353372516758,-1.2894509922452835,-1.2720583084004735,-1.2342251653093472,0.4894508155444514,-0.3105858119539664,0.6476847925495044,-1.4620818672634281,-1.1573151541413091,-0.3471551143887863,0.31977461127633,-0.5315975394133106,-0.7744028788819571,-0.33573284204535325,0.9148247530778197,-1.041382024955059,1.3796007549187885,0.43300244552105865,-0.9707993490493482,0.14923012030101857,-0.6760106505919165,1.5906927701625164,-0.6277956716575946,0.7636276001592335,-0.45423373373567905,-0.4267634328513194,-0.34854515550199605,-0.27162124091169626,-0.29811190067122273,-0.28543946811922594,-0.24839703006888686,-0.22371463882610973,-0.2057304077008284,-0.13363455495734872,-0.10848821611469997,-0.10835763684255427,-0.07669649888473705,-0.07669649888473705,-0.07669649888473704,-0.07669649888473705
amphibrach_4,amphibrach,-1.2161059541643557,2.6763502533203676,-1.205093519423641,1.6238471240839896,0.10138260237156498,-1.146377511836818,1.2193422645958123,-1.4961871306812558,2.3538111320964297,1.271003903384815,0.5330720393676223,0.44342479300003645,-0.5220815332081419,-2.231591389255451,2.3963614861530638,-0.9472765184110256,-1.2235062366890999,0.622222813233891,-1.017267995053861,-1.2705283149714879,-1.2296844896721921,-0.37670094397754983,0.5288427847072044,1.5359636706727242,-1.453393029297025,-1.1573151541413091,-0.588680886529905,1.0003859171327336,-0.26342664229134904,1.185746914163612,0.03951376519759235,-0.8754078646067204,-1.041382024955059,-0.3332723705724912,-1.0091738267808925,0.007737654531610249,-0.8241595788657163,0.36362560941718874,0.45516716568883503,-0.6277956716575946,-0.4870375286715278,-0.45423373373567905,1.6017138644654196,-0.34854515550199605,-0.27162124091169626,-0.29811190067122273,-0.28543946811922594,-0.24839703006888686,-0.22371463882610973,-0.2057304077008284,-0.13363455495734872,-0.10848821611469997,-0.10835763684255427,-0.07669649888473705,-0.07669649888473705,-0.07669649888473704,-0.07669649888473705
amphibrach_5,amphibrach,-1.6987214031830522,2.5792748652268522,-1.4813827679766567,1.6666243340934983,0.39734678921056726,-1.3722114217753645,1.5873461615983593,-0.9323451101504524,-0.8304915139877531,2.012395591383619,1.001050244816364,0.9465899536505419,-1.3996119903387507,-1.6397843721736236,1.568446440315797,-0.550299242446743,-1.1323894149434792,-0.37392713242612824,-1.3433430441733485,-1.1473415791469834,-1.2278467359908616,0.6929128228215141,-0.2794313704102107,1.8954779607843733,-0.6146028805374408,-0.8152524118949579,-0.07947235374418224,0.015162642504127579,-0.7798025455602652,-1.543464518998313,0.7790894552695441,0.03373525889122774,-1.041382024955059,-1.200571903418913,-1.0091738267808925,0.011044640011775651,0.16074368551590038,2.4534385443729705,0.4590698727714484,-0.6277956716575946,0.7784208679892693,-0.45423373373567905,-0.4267634328513194,-0.34854515550199605,-0.27162124091169626,-0.29811190067122273,-0.28543946811922594,-0.24839703006888686,-0.22371463882610973,-0.2057304077008284,-0.13363455495734872,-0.10848821611469997,-0.10835763684255427,-0.07669649888473705,-0.07669649888473705,-0.07669649888473704,-0.07669649888473705
amphibrach_6,amphibrach,-1.3142324920746786,1.0411529287212542,-1.4920284431953101,1.3405286022529617,-0.011890568574201909,-0.7279461599626014,1.0612803893237226,-0.40891672782004246,0.8052559682663001,3.2283932780086175,0.05497104772810858,0.7444652075838973,-1.3496863240009709,-1.0195340327089457,2.0075087727755756,-1.3063870192593645,-1.037822646066818,1.0645561991060872,-1.2329408522659748,-1.2056062184310765,-1.221126706415927,0.3630130143122014,0.583503218673396,0.8938936687960316,-0.8028466098044899,-1.1573151541413091,-0.8288300682145892,0.3755245972260846,-0.7701819201759106,0.44242789560728707,-0.30927948025928076,0.9692956094046491,-1.041382024955059,0.5613249922506226,1.2066365183809489,0.023137142100793984,1.169907310840205,0.37998663164107477,0.47334072271390665,-0.6277956716575946,-0.4870375286715278,-0.45423373373567905,-0.4267634328513194,-0.34854515550199605,-0.27162124091169626,-0.29811190067122273,-0.28543946811922594,-0.24839703006888686,-0.22371463882610973,-0.2057304077008284,-0.13363455495734872,-0.10848821611469997,-0.10835763684255427,-0.07669649888473705,-0.07669649888473705,-0.07669649888473704,-0.07669649888473705
amphibrach_7,amphibrach,-1.868141217479681,1.3185688796414745,-0.5345028932549745,1.9824209776511394,-0.5107031735847509,-2.0702970436143153,1.3973529998001495,-0.6754508872324518,1.5489118185625854,2.3357170933228018,0.5258997726101939,0.974089629695611,-1.1828081422856824,-0.8725241714570839,1.5396612403704026,0.30825209284668836,-1.268834864050447,0.23945694974031878,-1.2348340976551062,-1.0269377627579592,-1.2305987319625513,0.7691384577627444,-0.49684216080257915,1.8744958967947565,-1.0396121709442205,-0.47664020168202653,-0.33875080243402256,0.33520952692378475,-0.5246752371978584,0.012240850110851244,-0.32840897638325905,-0.424649807149116,-0.26432284584302346,-0.3347305069760662,-1.0091738267808925,0.006092501532987259,-0.8241595788657163,1.3997661187201436,0.45322565421313676,0.5163307585744129,-0.4870375286715278,-0.45423373373567905,-0.4267634328513194,-0.34854515550199605,-0.27162124091169626,-0.29811190067122273,-0.28543946811922594,-0.24839703006888686,-0.22371463882610973,-0.2057304077008284,-0.13363455495734872,-0.10848821611469997,-0.10835763684255427,-0.07669649888473705,-0.07669649888473705,-0.07669649888473704,-0.07669649888473705
amphibrach_8,amphibrach,-2.2785490620298114,2.801735850353422,-0.28301270811666523,1.6046885330230987,-0.11265064591878221,-1.4407133452187249,2.0242373738824204,-1.6104561450594597,0.6031821505618052,1.778112804050519,0.5076765891928782,0.7668368693339563,-1.1132805317570886,-1.0118793558119075,2.521867869568381,0.2193832038456745,-1.1782077037343703,-0.004093289700597238,-1.2345780940738362,-1.4537603280268039,-0.9961074125417938,0.06680078527944645,-0.4910675048997636,1.0199221561754834,0.2133510711855505,-0.9298882011457011,-1.0924387913248381,1.0023918377681453,-1.0415871312479925,0.016834613226973615,0.406823949615477,0.9352318340301248,-1.041382024955059,2.270964750468551,-1.0091738267808925,0.008397268285288072,0.15808806498504344,0.3643264090531909,-0.6996438600564782,-0.6277956716575946,-0.4870375286715278,-0.45423373373567905,-0.4267634328513194,-0.34854515550199605,-0.27162124091169626,-0.29811190067122273,-0.28543946811922594,-0.24839703006888686,-0.22371463882610973,-0.2057304077008284,-0.13363455495734872,-0.10848821611469997,-0.10835763684255427,-0.07669649888473705,-0.07669649888473705,-0.07669649888473704,-0.07669649888473705
amphibrach_9,amphibrach,-1.7244557596198982,1.574008233136122,-1.1601553887518803,1.746064938165426,0.2957561671567073,-1.0087723856932127,1.0260906280577495,-0.1395938766754559,0.948723782666078,1.3747022062601804,0.3843612705088415,0.9948054320878045,-0.5567554425937481,-1.7830270731411362,2.429545612871128,-1.033467788940819,-1.0411935419484168,-1.000856317209955,-1.179477637803044,-1.2695978883649106,-0.7584495268593465,0.2524141530988839,0.7518298540889462,1.7288907824496873,-0.19307817646377737,-0.9288873377777449,-0.33023268801541633,0.01853190450142665,-1.3001227092271124,-1.542802037718264,-1.0568564235121125,3.218067726431882,-0.6502219033099688,-0.32886834450861296,-0.27832146400634256,-0.9707993490493482,0.16241075265263302,-0.6760106505919165,0.4610311350138789,0.5240770444933838,0.7805628084033872,-0.45423373373567905,-0.4267634328513194,1.8720036856313835,-0.27162124091169626,-0.29811190067122273,-0.28543946811922594,-0.24839703006888686,-0.22371463882610973,-0.2057304077008284,-0.13363455495734872,-0.10848821611469997,-0.10835763684255427,-0.07669649888473705,-0.07669649888473705,-0.07669649888473704,-0.07669649888473705
amphibrach_10,amphibrach,-1.437019770200677,2.9313793148715672,-1.0023666343553004,1.7353183439015016,-0.012179817886878311,-1.1693441070339796,0.7109568284853276,-0.49448289755812874,0.3540145112996698,1.3670115576234416,0.3013951973887046,0.6446697341092646,-1.3638647934958594,-1.5884368490273333,0.08844571800358951,-0.38785491940713324,-1.1269781200965594,2.2747655165885967,-0.952523104966295,-1.0772787731747393,-1.2148196059939391,0.6592512942614595,-0.005904779575116259,1.639853580068855,-0.9973402291346783,-1.1573151541413091,-0.8200599901118314,0.7420499460821715,-0.7611524583640489,1.2710506596652655,-0.2965417978615637,0.06623979696798178,-1.041382024955059,3.2544667004236936,0.48490083040666504,0.034486589923615675,1.1926769327641826,-0.6760106505919165,0.48673466431647505,-0.6277956716575946,0.8086342345531431,-0.45423373373567905,-0.4267634328513194,4.190902094814962,2.665799509398152,-0.29811190067122273,-0.28543946811922594,-0.24839703006888686,-0.22371463882610973,-0.2057304077008284,-0.13363455495734872,-0.10848821611469997,-0.10835763684255427,-0.07669649888473705,-0.07669649888473705,-0.07669649888473704,-0.07669649888473705
