sample_id,class_label,a na,se na,jak se,a já,jak by,a když,když se,zdá se,na mne,se a,se mi,a jak,by se,ke mně,že se,je to,a co,jsem se,na to,za to,se mnou,se do,se mu,a za,co se,a pak,já jsem,srdce mé,za ním,a ty,duše má,mé srdce,a po,se to,a tak,na věky,se jak,a srdce,jak na,a ve,co je,jak to,a do,tam kde,a to,a zas,kde se,na nebi,se dívá,to je,nad hlavou,že je,a již,a přec,a přece,a že,jen se,vše co,když jsem,na zem,se že,ty jsi,jako když,již se,ať se,se po,se za,na ně,u nás,na ni,se jí,jež se,má duše,tak se,až se,na zemi,až do,jako by,se tu,chtěl bych,při tom,tak jako,že jsem,a ten,na rtech,se nad,se tak,ve mně,přede mnou,a jako,a nad,a tam,co jsem,před ním,tam na,je tak,jenž se,já se,po ní,že to
iamb_19,iamb,-0.2526631358207611,-0.2102182742316974,-0.10104871026991959,-0.08308925627878373,-1.0317245488985816,1.1047549308253246,-0.7707116617047731,2.1603026452004985,0.19998448254268977,1.1789256231691727,0.19579254138082738,-0.806361682017508,-0.863839638606489,-0.8266456183812562,-0.7629538050314779,0.36836061296541944,0.45648718696131646,-0.7222820667431589,1.7688838702083158,0.54050574354814,1.6839878452977846,-0.6869972918573699,-0.6814570701597986,0.5914956576953748,0.6400006814894426,-0.6455523498020231,2.0499707419715625,-0.6609699342513696,-0.7131632279468457,-0.6394407662570867,-0.5971875792383099,0.7412496673085297,-0.6363810812376365,-0.5824310103617643,0.9054886402777705,0.6810342572018568,-0.6119787557413563,0.703939221579828,-0.6215573892806503,-0.5798379262944348,-0.571746396172361,0.8893533503700373,-0.5960152919499677,-0.6103804196231208,0.9745372544575144,0.978806243236203,-0.5084527512059712,-0.5431424079238683,-0.571024804178981,1.0005997579633374,0.9927788265358125,-0.5508394603965205,2.676405168908357,-0.5915082690651876,-0.47321066443204785,1.1170907216806534,1.0283165607742788,-0.5432441006491585,2.697076624948276,-0.5772073654305987,1.0656251351381623,-0.5466282488430207,-0.544677031301299,-0.5686003734414143,-0.5168954526021093,-0.5268067683294837,-0.5264796321072416,-0.5153401624111401,-0.5451710433941276,-0.5495644680987595,-0.5135321489206659,1.1061438909334493,-0.5346837978635987,-0.5257819517487662,-0.5745214928545997,-0.5268795851459445,-0.5468668786450464,-0.4342311544966838,1.065969501456459,-0.44364800214838,-0.4888651856485609,1.198395169571504,-0.5133730655348052,-0.53227592292924375,1.2264620650350109,-0.49992973493291337,-0.48727019062279264,1.1295264267272882,-0.48758959777210414,1.245997235213882,-0.4831848651083195,-0.49641629524894826,-0.4732792630024581,-0.49954426896758397,-0.48445217638792815,-0.48620158225756455,-0.502061664741373,-0.5092669930905345,-0.49511613122440656,-0.5393895683571489
iamb_20,iamb,-0.8194993011057436,-1.052926249140856,0.3695009318938433,-0.9138985490224641,-1.0317245488985816,-0.8622265872198165,0.6477562436444153,2.226614275546121,0.7078138790222214,-0.7389474538289017,0.70895861387193,-0.806361682017508,-0.863839638606489,0.9503844210059127,-0.7629538050314779,-0.6582945531451798,-0.6516855400944848,2.7817187828482575,-0.706921700942181,-0.6614494664535853,-0.6696224568261793,1.1957529869289092,-0.6814570701597986,1.2715448428945233,-0.6724330979823334,-0.6455523498020231,-0.6836618013732655,-0.6609699342513696,-0.7131632279468457,-0.6394407662570867,-0.5971875792383099,-0.6025198418434444,1.5271018091642587,-0.5824310103617643,-0.6584816411509683,-0.59443098288381,-0.6119787557413563,-0.5180874930402645,1.6219337587250333,1.484088834211607,-0.571746396172361,-0.5914922859199957,-0.5960152919499677,-0.6103804196231208,1.8132279843473953,-0.5799995464514767,-0.5084527512059712,-0.5431424079238683,-0.571024804178981,1.8834633460495094,-0.5991619212125776,-0.5508394603965205,-0.5366761442918213,-0.5915082690651876,1.399506979672507,2.0408649429405457,-0.5866329499642579,1.9198196146577937,-0.5542512302147264,-0.5772073654305987,1.925236072914142,-0.5466282488430207,-0.544677031301299,-0.5686003734414143,-0.5168954526021093,1.7429680864357104,-0.5264796321072416,1.8319836929402045,-0.5451710433941276,2.1231295652996427,1.8866924570267474,1.9717345710449599,-0.5346837978635987,-0.5257819517487662,-0.5745214928545997,-0.5268795851459445,-0.5468668786450464,-0.4342311544966838,-0.4790468508114368,-0.44364800214838,-0.4888651856485609,4.799063887173227,-0.5133730655348052,-0.53227592292924375,2.1703702332675783,2.0462646760344576,-0.48727019062279264,-0.4984647167997006,-0.48758959777210414,-0.4718396604305585,-0.4831848651083195,-0.49641629524894826,-0.4732792630024581,-0.49954426896758397,-0.48445217638792815,-0.48620158225756455,2.431524269476334,-0.5092669930905345,-0.49511613122440656,-0.5393895683571489
iamb_21,iamb,-0.8194993011057436,-1.052926249140856,1.7223311531146617,-0.9138985490224641,-1.0317245488985816,0.6457925766147917,-0.7707116617047731,0.7014467775968042,-0.752195635856432,2.2017912642348123,-0.7663938445399902,2.445080636235073,1.0848602326892618,-0.8266456183812562,-0.7629538050314779,-0.6582945531451798,-0.6516855400944848,-0.7222820667431589,-0.706921700942181,-0.6614494664535853,-0.6696224568261793,-0.6869972918573699,3.2292178261097186,-0.6835965645530286,-0.6724330979823334,-0.6455523498020231,-0.6836618013732655,-0.6609699342513696,-0.7131632279468457,-0.6394407662570867,-0.5971875792383099,1.4579267388562491,1.5271018091642587,-0.5824310103617643,-0.6584816411509683,1.361282385247546,1.488184525817778,-0.5180874930402645,-0.6215573892806503,3.548015594717649,3.6258000662110232,-0.5914922859199957,-0.5960152919499677,-0.6103804196231208,-0.5980078640860125,-0.5799995464514767,-0.5084527512059712,-0.5431424079238683,-0.571024804178981,-0.6547694696982348,-0.5991619212125776,-0.5508394603965205,-0.5366761442918213,1.8818021942168572,-0.47321066443204785,-0.6149859431816449,1.8896229665014983,-0.5432441006491585,-0.5542512302147264,1.9098153959526296,1.925236072914142,-0.5466282488430207,-0.544677031301299,-0.5686003734414143,-0.5168954526021093,-0.5268067683294837,1.8776058716709434,-0.5153401624111401,-0.5451710433941276,-0.5495644680987595,-0.5135321489206659,-0.5168386342756331,-0.5346837978635987,-0.5257819517487662,-0.5745214928545997,4.500121536468066,-0.5468668786450464,-0.4342311544966838,1.8899782226660033,1.834179970454275,-0.4888651856485609,-0.5438638873325554,-0.5133730655348052,-0.53227592292924375,-0.5433657504010531,-0.49992973493291337,-0.48727019062279264,1.9977883699416823,-0.48758959777210414,-0.4718396604305585,-0.4831848651083195,-0.49641629524894826,-0.4732792630024581,-0.49954426896758397,-0.48445217638792815,-0.48620158225756455,-0.502061664741373,-0.5092669930905345,2.2948204048845593,-0.5393895683571489
iamb_22,iamb,-0.36993958381075753,-0.38457164835083363,1.815629789060925,-0.9138985490224641,-0.274571029228714,-0.8622265872198165,0.6966689300357667,0.7540387602847117,0.0029816994256301093,-0.7389474538289017,-0.003280503982100366,-0.806361682017508,-0.863839638606489,-0.8266456183812562,0.20063001997756544,0.15594919928736445,0.22721007101873691,1.0901321658041254,0.27486326692784363,-0.6614494664535853,-0.6696224568261793,0.28683905923898134,0.32992436853059387,-0.6835965645530286,2.4502541704160303,-0.6455523498020231,-0.6836618013732655,-0.6609699342513696,-0.7131632279468457,0.45662839409163447,-0.5971875792383099,0.4632283895529488,-0.6363810812376365,-0.5824310103617643,-0.6584816411509683,0.4171448971841327,0.4743125967892304,-0.5180874930402645,-0.6215573892806503,-0.5798379262944348,-0.571746396172361,0.5829714945858926,0.5029115660523579,-0.6103804196231208,-0.5980078640860125,-0.5799995464514767,0.5882600019983091,-0.5431424079238683,0.5779225591220875,-0.6547694696982348,-0.5991619212125776,-0.5508394603965205,-0.5366761442918213,-0.5915082690651876,-0.47321066443204785,0.7587300323987985,0.6941890757938919,3.2787513196547335,0.7350684364878434,-0.5772073654305987,2.010456122779864,-0.5466282488430207,-0.544677031301299,0.8240309975561604,-0.5168954526021093,-0.5268067683294837,1.9605053718012255,1.9129258948488717,-0.5451710433941276,0.8328634802107591,0.7279633369142031,-0.5168386342756331,0.8207764334718894,-0.5257819517487662,-0.5745214928545997,0.7732069118231961,0.8587991171990103,-0.4342311544966838,0.7463109458148254,-0.44364800214838,-0.4888651856485609,-0.5438638873325554,-0.5133730655348052,-0.53227592292924375,-0.5433657504010531,-0.49992973493291337,-0.48727019062279264,-0.4984647167997006,-0.48758959777210414,4.977849801613874,-0.4831848651083195,-0.49641629524894826,0.9384374496866152,-0.49954426896758397,-0.48445217638792815,-0.48620158225756455,-0.502061664741373,1.0187580776242395,0.9479544909009204,-0.5393895683571489
iamb_23,iamb,-0.8194993011057436,-0.08381207799532352,1.0459160425042526,-0.9138985490224641,2.261893261665342,-0.8622265872198165,-0.7707116617047731,-0.8237207203525125,-0.752195635856432,0.3638295654449912,0.3401204992689501,-0.806361682017508,-0.863839638606489,-0.8266456183812562,0.634242741231635,-0.6582945531451798,0.6227130960196867,0.5917182518536224,-0.706921700942181,-0.6614494664535853,-0.6696224568261793,0.7250654172323394,0.7850460159412705,-0.6835965645530286,-0.6724330979823334,-0.6455523498020231,2.4600156234732866,-0.6609699342513696,-0.7131632279468457,0.949859516248559,0.8058893916822747,-0.6025198418434444,-0.6363810812376365,-0.5824310103617643,-0.6584816411509683,-0.59443098288381,2.5382661665973454,-0.5180874930402645,-0.6215573892806503,0.9681071440850966,-0.571746396172361,-0.5914922859199957,-0.5960152919499677,-0.6103804196231208,-0.5980078640860125,-0.5799995464514767,-0.5084527512059712,-0.5431424079238683,2.7609225493941176,-0.6547694696982348,-0.5991619212125776,-0.5508394603965205,-0.5366761442918213,-0.5915082690651876,2.3358658017247844,-0.6149859431816449,-0.5866329499642579,-0.5432441006491585,-0.5542512302147264,-0.5772073654305987,-0.5461453731917992,3.1219995484885437,-0.544677031301299,-0.5686003734414143,1.2933792157616673,1.175524372744412,-0.5264796321072416,-0.5153401624111401,-0.5451710433941276,-0.5495644680987595,1.2866363055398942,-0.5168386342756331,1.4307335375728591,-0.5257819517487662,-0.5745214928545997,-0.5268795851459445,-0.5468668786450464,-0.4342311544966838,1.2977219542966434,-0.44364800214838,-0.4888651856485609,1.4597340281071132,1.5252032977331773,-0.53227592292924375,-0.5433657504010531,1.409716073292615,-0.48727019062279264,1.3737250982563367,-0.48758959777210414,3.4791851995516545,-0.4831848651083195,-0.49641629524894826,-0.4732792630024581,3.449607212504727,-0.48445217638792815,-0.48620158225756455,-0.502061664741373,-0.5092669930905345,1.5973362708573178,-0.5393895683571489
iamb_24,iamb,-0.8194993011057436,1.4214078048477372,-0.9833292893269749,-0.9138985490224641,-1.0317245488985816,-0.8622265872198165,0.13469338426279395,-0.8237207203525125,1.1116462980312105,3.015187079869457,0.1753204906165547,-0.806361682017508,0.3800113430716498,0.30762887484459633,-0.7629538050314779,-0.6582945531451798,-0.6516855400944848,0.39601607674346334,-0.706921700942181,-0.6614494664535853,-0.6696224568261793,-0.6869972918573699,-0.6814570701597986,0.5643660359454088,0.612076558521958,-0.6455523498020231,0.6540732730295227,0.5502171257282698,0.710794183557536,0.713155218854101,0.5969204811196344,-0.6025198418434444,3.506458496127695,-0.5824310103617643,-0.6584816411509683,-0.59443098288381,-0.6119787557413563,1.873964799407576,0.8104582371059563,0.7375621336030388,-0.571746396172361,-0.5914922859199957,0.7601072136699234,0.8755895259838476,-0.5980078640860125,0.9456401626045502,0.8449374548759067,-0.5431424079238683,0.8468251335116992,-0.6547694696982348,-0.5991619212125776,-0.5508394603965205,-0.5366761442918213,0.9872005372850539,-0.47321066443204785,-0.6149859431816449,0.9939559328862247,1.0289242282701727,1.0368241031629128,1.0102539716225258,-0.5461453731917992,1.014489962787432,-0.544677031301299,1.149965999278997,-0.5168954526021093,-0.5268067683294837,-0.5264796321072416,0.982951660153548,-0.5451710433941276,-0.5495644680987595,-0.5135321489206659,-0.5168386342756331,1.138011806763174,-0.5257819517487662,-0.5745214928545997,1.0774824749436331,-0.5468668786450464,-0.4342311544966838,-0.4790468508114368,-0.44364800214838,-0.4888651856485609,-0.5438638873325554,1.2215855415017753,1.2783515145836561,1.1888061540682862,-0.49992973493291337,-0.48727019062279264,-0.4984647167997006,-0.48758959777210414,-0.4718396604305585,-0.4831848651083195,-0.49641629524894826,-0.4732792630024581,-0.49954426896758397,-0.48445217638792815,-0.48620158225756455,-0.502061664741373,-0.5092669930905345,1.285694423738763,-0.5393895683571489
iamb_25,iamb,3.191956637834133,-0.05896299668389969,0.05730934238134676,0.06603036036751787,1.2203218172989732,1.4578028956026576,-0.7707116617047731,-0.8237207203525125,-0.752195635856432,-0.7389474538289017,0.3684926619307177,0.4441930557719462,-0.863839638606489,-0.8266456183812562,-0.7629538050314779,-0.6582945531451798,-0.6516855400944848,-0.7222820667431589,-0.706921700942181,-0.6614494664535853,0.7184041316059019,0.7612721533628447,-0.6814570701597986,0.8203583642527806,-0.6724330979823334,0.9023808727267147,-0.6836618013732655,-0.6609699342513696,1.0028880115584349,-0.6394407662570867,-0.5971875792383099,0.982439066387089,2.692054134765279,-0.5824310103617643,-0.6584816411509683,-0.59443098288381,-0.6119787557413563,-0.5180874930402645,-0.6215573892806503,2.5954340129456295,1.0426945508981715,-0.5914922859199957,-0.5960152919499677,-0.6103804196231208,-0.5980078640860125,-0.5799995464514767,-0.5084527512059712,-0.5431424079238683,-0.571024804178981,-0.6547694696982348,-0.5991619212125776,-0.5508394603965205,-0.5366761442918213,-0.5915082690651876,-0.47321066443204785,1.4279762769123479,-0.5866329499642579,-0.5432441006491585,-0.5542512302147264,-0.5772073654305987,-0.5461453731917992,-0.5466282488430207,-0.544677031301299,-0.5686003734414143,-0.5168954526021093,-0.5268067683294837,5.021409991996262,-0.5153401624111401,-0.5451710433941276,-0.5495644680987595,1.3327944710388828,-0.5168386342756331,-0.5346837978635987,-0.5257819517487662,-0.5745214928545997,-0.5268795851459445,1.543610756199961,-0.4342311544966838,-0.4790468508114368,-0.44364800214838,3.440392488238011,-0.5438638873325554,1.5774744865349202,-0.53227592292924375,-0.5433657504010531,-0.49992973493291337,-0.48727019062279264,-0.4984647167997006,-0.48758959777210414,-0.4718396604305585,-0.4831848651083195,-0.49641629524894826,-0.4732792630024581,-0.49954426896758397,3.4575371108542168,-0.48620158225756455,-0.502061664741373,1.7631805479724627,1.6509888965517208,-0.5393895683571489
iamb_26,iamb,-0.8194993011057436,0.562264036101698,0.7077084871990478,1.474678167615617,-0.11683071263082498,0.0802853901768136,-0.7707116617047731,-0.8237207203525125,1.0728162577418847,2.0179950943558302,0.15570144196745997,1.225789766890355,0.3540977809533552,-0.8266456183812562,-0.7629538050314779,1.3094611819001356,0.4103133233339914,-0.7222820667431589,-0.706921700942181,0.49042427646473474,-0.6696224568261793,0.4897216323840544,1.7627147400086496,-0.6835965645530286,-0.6724330979823334,-0.6455523498020231,-0.6836618013732655,-0.6609699342513696,-0.7131632279468457,-0.6394407662570867,0.5720432298621771,-0.6025198418434444,0.7157957252635481,-0.5824310103617643,-0.6584816411509683,0.6278898721982874,0.7006232952331025,1.824130376648246,-0.6215573892806503,0.7101162990218414,-0.571746396172361,-0.5914922859199957,-0.5960152919499677,-0.6103804196231208,-0.5980078640860125,-0.5799995464514767,-0.5084527512059712,0.8304880601728465,0.8172865931431433,-0.6547694696982348,-0.5991619212125776,-0.5508394603965205,1.0029253182832638,-0.5915082690651876,0.6972378631332989,-0.6149859431816449,0.9610269978268396,-0.5432441006491585,-0.5542512302147264,-0.5772073654305987,-0.5461453731917992,2.510561582266616,-0.544677031301299,1.114162533180655,-0.5168954526021093,0.8918025158987626,-0.5264796321072416,-0.5153401624111401,-0.5451710433941276,1.1208693027752419,-0.5135321489206659,-0.5168386342756331,1.1031639816667826,1.1776693642570133,-0.5745214928545997,-0.5268795851459445,-0.5468668786450464,-0.4342311544966838,-0.4790468508114368,-0.44364800214838,-0.4888651856485609,-0.5438638873325554,-0.5133730655348052,-0.53227592292924375,-0.5433657504010531,-0.49992973493291337,-0.48727019062279264,1.0616934624136636,1.1137748561648377,-0.4718396604305585,-0.4831848651083195,-0.49641629524894826,-0.4732792630024581,-0.49954426896758397,-0.48445217638792815,-0.48620158225756455,-0.502061664741373,-0.5092669930905345,2.9923045389118004,-0.5393895683571489
iamb_27,iamb,0.24476451942932556,0.5293009690559315,-0.15506588857953527,-0.1339551313447234,-0.13550201541179963,1.907604530027423,1.8346375522018996,-0.8237207203525125,0.14168774059988634,1.0615048225366375,-0.7663938445399902,0.18897780316185345,0.32924191524805224,0.2613319567537451,-0.7629538050314779,0.30550417422395415,-0.6516855400944848,2.4956778971673255,-0.706921700942181,0.4669166490582384,-0.6696224568261793,0.46570696046076004,-0.6814570701597986,0.5134287869454726,-0.6724330979823334,-0.6455523498020231,-0.6836618013732655,-0.6609699342513696,0.6526734728838877,-0.6394407662570867,-0.5971875792383099,0.6589780647073883,-0.6363810812376365,0.612953187722411,-0.6584816411509683,0.6029445486251833,0.6738354982744401,-0.5180874930402645,0.7520086197024213,-0.5798379262944348,-0.571746396172361,-0.5914922859199957,0.7047552746650299,-0.6103804196231208,-0.5980078640860125,0.8833691540716511,-0.5084527512059712,-0.5431424079238683,-0.571024804178981,-0.6547694696982348,0.8953130664695845,-0.5508394603965205,-0.5366761442918213,0.9227634431483092,0.6733511584891081,1.0110452115870432,0.9294421009331438,0.9647540923959143,0.9718822528209684,-0.5772073654305987,2.480035989386904,0.950770852108638,-0.544677031301299,-0.5686003734414143,-0.5168954526021093,-0.5268067683294837,-0.5264796321072416,-0.5153401624111401,-0.5451710433941276,-0.5495644680987595,-0.5135321489206659,1.006777613879832,-0.5346837978635987,-0.5257819517487662,-0.5745214928545997,-0.5268795851459445,-0.5468668786450464,-0.4342311544966838,0.9713766635625061,0.9509405525063066,-0.4888651856485609,-0.5438638873325554,-0.5133730655348052,-0.53227592292924375,-0.5433657504010531,-0.49992973493291337,-0.48727019062279264,-0.4984647167997006,-0.48758959777210414,-0.4718396604305585,-0.4831848651083195,-0.49641629524894826,-0.4732792630024581,-0.49954426896758397,-0.48445217638792815,-0.48620158225756455,-0.502061664741373,1.2994157436738918,-0.49511613122440656,1.3402458717447372
iamb_28,iamb,-0.32752828972632486,-0.3215193275215863,-0.21757633391896464,-0.9138985490224641,0.6254416450958454,-0.008630834105887332,-0.7707116617047731,0.9028839943070913,0.07422484426356048,-0.7389474538289017,-0.7663938445399902,1.0340773660499907,1.3422356873887005,-0.8266456183812562,0.29153415441238084,-0.6582945531451798,-0.6516855400944848,0.26941628691478914,-0.706921700942181,-0.6614494664535853,0.351755598812522,-0.6869972918573699,-0.6814570701597986,-0.6835965645530286,0.4666603709931702,0.49349285168138773,0.5026315664933579,-0.6609699342513696,0.5495914577268513,0.5600311450679288,0.4617384365508104,1.7300611929109255,0.588231875593625,-0.5824310103617643,0.698926527636239,1.6195841508498006,-0.6119787557413563,0.5425394668186837,1.9182439103484255,-0.5798379262944348,-0.571746396172361,-0.5914922859199957,-0.5960152919499677,2.0251134461703706,-0.5980078640860125,-0.5799995464514767,0.6917234692817318,0.7009002801637225,0.6863138198108675,-0.6547694696982348,0.7825225013614968,-0.5508394603965205,-0.5366761442918213,0.8084787856227623,-0.47321066443204785,-0.6149859431816449,2.2166756347139565,-0.5432441006491585,-0.5542512302147264,-0.5772073654305987,-0.5461453731917992,0.837759599206626,-0.544677031301299,2.4794230045910135,0.8493495801252691,-0.5268067683294837,-0.5264796321072416,-0.5153401624111401,-0.5451710433941276,-0.5495644680987595,0.845085552559002,-0.5168386342756331,-0.5346837978635987,1.0169664099168454,-0.5745214928545997,-0.5268795851459445,-0.5468668786450464,-0.4342311544966838,-0.4790468508114368,-0.44364800214838,-0.4888651856485609,0.9682854828105906,-0.5133730655348052,1.0733748235444598,0.9927112214868515,-0.49992973493291337,-0.48727019062279264,0.9145087285256105,-0.48758959777210414,-0.4718396604305585,-0.4831848651083195,-0.49641629524894826,1.0716182716384146,-0.49954426896758397,-0.48445217638792815,2.698529771145518,-0.502061664741373,-0.5092669930905345,-0.49511613122440656,-0.5393895683571489
iamb_29,iamb,-0.8194993011057436,0.12175759467191062,-0.9833292893269749,0.24419925298387832,0.2990301220363372,0.5086999253571001,0.5188046158853983,-0.8237207203525125,-0.752195635856432,1.934451380774475,-0.7663938445399902,-0.806361682017508,-0.863839638606489,2.4043180895954146,-0.7629538050314779,-0.6582945531451798,-0.6516855400944848,-0.7222820667431589,2.7442012164191176,-0.6614494664535853,0.9707726022299168,-0.6869972918573699,-0.6814570701597986,-0.6835965645530286,-0.6724330979823334,1.183823276822849,-0.6836618013732655,1.0640540602650865,1.3148973278321223,-0.6394407662570867,-0.5971875792383099,1.2706134133380953,3.297224174038537,-0.5824310103617643,-0.6584816411509683,-0.59443098288381,-0.6119787557413563,1.185343684915016,-0.6215573892806503,1.2964591287110578,1.3362292685473594,-0.5914922859199957,1.3354319130238168,1.5060010180595313,-0.5980078640860125,-0.5799995464514767,1.4191029968500368,-0.5431424079238683,3.467699260758108,-0.6547694696982348,-0.5991619212125776,-0.5508394603965205,1.702744164908303,-0.5915082690651876,1.2292599211175477,-0.6149859431816449,-0.5866329499642579,-0.5432441006491585,-0.5542512302147264,-0.5772073654305987,-0.5461453731917992,-0.5466282488430207,-0.544677031301299,-0.5686003734414143,-0.5168954526021093,-0.5268067683294837,-0.5264796321072416,-0.5153401624111401,1.6116710229462705,1.8801573804452427,-0.5135321489206659,-0.5168386342756331,1.8476402450896836,-0.5257819517487662,2.187104990779237,-0.5268795851459445,-0.5468668786450464,-0.4342311544966838,-0.4790468508114368,-0.44364800214838,-0.4888651856485609,-0.5438638873325554,-0.5133730655348052,-0.53227592292924375,-0.5433657504010531,-0.49992973493291337,-0.48727019062279264,-0.4984647167997006,-0.48758959777210414,1.9227208607707829,-0.4831848651083195,-0.49641629524894826,-0.4732792630024581,-0.49954426896758397,-0.48445217638792815,-0.48620158225756455,-0.502061664741373,-0.5092669930905345,-0.49511613122440656,-0.5393895683571489
iamb_30,iamb,-0.8194993011057436,-1.052926249140856,-0.9833292893269749,-0.9138985490224641,-1.0317245488985816,0.4683785573401319,-0.7707116617047731,0.5220153072498258,3.1125354329400037,-0.7389474538289017,0.5353877364117042,-0.806361682017508,0.8556014243015265,-0.8266456183812562,-0.7629538050314779,-0.6582945531451798,-0.6516855400944848,0.82360066101776,0.9678879501302139,-0.6614494664535853,-0.6696224568261793,-0.6869972918573699,-0.6814570701597986,1.041528206724223,1.1032126036559518,-0.6455523498020231,-0.6836618013732655,1.0133180604263672,3.223660203859386,1.2303242719848493,-0.5971875792383099,1.2155212587739321,-0.6363810812376365,1.1403285692301355,1.4574781513702666,-0.59443098288381,1.241106492693174,-0.5180874930402645,1.357993623665541,-0.5798379262944348,-0.571746396172361,3.4155017887471524,1.2786246422892935,-0.6103804196231208,-0.5980078640860125,-0.5799995464514767,-0.5084527512059712,-0.5431424079238683,1.3889442273346062,1.5848477206674219,-0.5991619212125776,-0.5508394603965205,-0.5366761442918213,1.5908244926542638,-0.47321066443204785,-0.6149859431816449,-0.5866329499642579,1.630047412856976,-0.5542512302147264,-0.5772073654305987,-0.5461453731917992,-0.5466282488430207,-0.544677031301299,-0.5686003734414143,-0.5168954526021093,1.4759357505809816,-0.5264796321072416,-0.5153401624111401,-0.5451710433941276,-0.5495644680987595,-0.5135321489206659,1.678961252771949,-0.5346837978635987,-0.5257819517487662,-0.5745214928545997,1.6909150273308247,-0.5468668786450464,-0.4342311544966838,-0.4790468508114368,-0.44364800214838,-0.4888651856485609,-0.5438638873325554,-0.5133730655348052,-0.53227592292924375,-0.5433657504010531,-0.49992973493291337,-0.48727019062279264,1.704111536207402,-0.48758959777210414,-0.4718396604305585,-0.4831848651083195,1.9547844036929711,-0.4732792630024581,1.8234860142514222,-0.48445217638792815,1.9960155020124852,-0.502061664741373,-0.5092669930905345,-0.49511613122440656,-0.5393895683571489
