sample_id,class_label,N2,P1,V2,J1,A2,N3,N1,R1,V1,D1,V3,D2,A3,P2,V4,T1,X2,A4,N4,J2,X3,D3,X1,X4,C2,I1,R2,T2,A1,C1,D4,P3,C3,I2,A5,N5,V5,X5,T3,J3,C4,R3,P4,A6,I3,X6,N6,V6,D5,C5,T4,A7,I4,C6,R4,X7,N7,X8,D6,V7,X10
amphibrach_3_1,amphibrach_3,-1.7789175942202688,1.9727967656379448,-0.5024055410878672,1.8780654196433169,-1.9165108027326396,0.3233517091387071,-0.027107850813685736,-0.1608577350276066,1.352912932117929,3.1088287081476977,0.34156390877074394,-0.8270607111259097,1.0904375656743897,-1.9144172235175254,-1.3446613541544494,2.029270551078059,-0.4936721431104205,-1.5135663204113712,-1.378097333662038,-1.3464687050875546,-0.3694280617567147,0.994520409007434,-0.5559535777233823,-1.2496071212035842,-0.5021705112148053,2.2197659184893634,-0.921353905927462,-1.7444162447356495,0.5603165260791171,-0.6566518351253955,-1.2013903225253098,0.5320221339576181,-0.20736858614569062,-0.31916040233386883,0.6586026604849136,0.15369834621601583,-0.7953240722665044,0.5291899008110138,0.633990500223065,-0.6466511585005946,-0.4956018113802598,-0.43129072636166105,-0.45170614514541985,-0.39203670818763064,-0.28092639230425237,-0.3056786250392091,-0.27514036468162917,-0.23648691187066867,-0.2317826054281856,-0.1692447894178341,-0.12073647005893212,-0.10040865077181796,-0.09955640649115595,-0.08800439257563399,-0.09145126195699226,-0.09186773012753226,-0.0802936599144018,-0.08068748703513243,-0.06963064030308416,-0.041169348479630906,-0.04116934847963091
amphibrach_3_2,amphibrach_3,-2.1804317245476557,2.529409580250683,-0.940107236632673,1.4871007072756663,-1.7507710989746645,0.7680814622155223,0.23209842364235506,-0.7711868218215665,-0.5086867570871894,2.283056262215097,1.5633070826261974,-0.8021127654413297,1.1654267277515802,-1.5289278292874622,-1.4435162936140606,2.669505194748916,-1.3006043069839388,-1.5720800864307996,-1.3645600282067325,-1.1432375575455382,1.1284624465186495,0.7293321048568266,0.2040561870389598,-1.2454129165121697,0.32559818661800344,1.3311805711283329,-1.2011378827808128,-0.8028178087302199,0.2711658497755841,1.9742358117002312,-0.7997777902848567,1.092081216094969,1.5399677143358206,-0.8448214841909581,-0.06017395854234144,-0.8849965817520673,1.717682246287581,0.5708828903693395,-0.7005768153144187,-0.6466511585005946,1.2465775273514443,4.701214739838041,-0.45170614514541985,-0.39203670818763064,-0.28092639230425237,-0.3056786250392091,-0.27514036468162917,-0.23648691187066867,4.0562314686169225,-0.1692447894178341,-0.12073647005893212,-0.10040865077181796,-0.09955640649115595,-0.08800439257563399,-0.09145126195699226,-0.09186773012753226,-0.0802936599144018,-0.08068748703513243,-0.06963064030308416,-0.041169348479630906,-0.04116934847963091
amphibrach_3_3,amphibrach_3,-1.7304020633484924,2.8243611378876436,-0.8564916826732434,1.7933278880005306,-1.6980276928437859,0.6395291973869774,0.3502219580957695,-0.9872914483950559,1.7379741266798516,2.5143137577496084,0.6970372617470098,-1.0913970934572788,0.5240248586834089,-1.7427069129664614,-1.560842830388075,3.2635007989706355,-1.545218056550811,-1.5137951636184306,-1.111241374522965,-1.5237999774963327,-0.6238343370799543,0.5345454829841066,-0.5605045927706229,-0.8767282866854168,-0.020862414111777312,1.2099002787021722,-1.521877166776635,-0.8352008237251156,2.0020838448991136,-1.0756360633592426,-0.8135898614994755,-0.4285506927195649,0.34101135293647283,1.778517361584879,-0.08661586748418619,-0.8849965817520673,-0.7953240722665044,-0.7094797308345874,-0.7005768153144187,-0.6466511585005946,-0.4956018113802598,-0.43129072636166105,-0.45170614514541985,-0.39203670818763064,-0.28092639230425237,-0.3056786250392091,-0.27514036468162917,-0.23648691187066867,-0.2317826054281856,-0.1692447894178341,-0.12073647005893212,-0.10040865077181796,-0.09955640649115595,-0.08800439257563399,-0.09145126195699226,-0.09186773012753226,-0.0802936599144018,-0.08068748703513243,-0.06963064030308416,-0.041169348479630906,-0.04116934847963091
amphibrach_3_4,amphibrach_3,-2.14779922584096,2.4344520131523564,-0.4837608216536064,1.9675864583146996,-1.793184665087002,0.5341780955993404,-0.012977322206689158,-0.7473635218342943,1.9253838518966775,2.012936891764202,0.4842455124378715,-0.3654685035501685,0.4280592783068977,-1.4948297808868964,-1.451881992866568,2.8803267435413007,-1.2522894945503638,-1.2703931498133088,-1.5114460832402417,-1.6987600845909703,0.39079180792744883,0.6586658257089067,-0.11049901858359606,-1.1243379266439693,-0.00869867334752014,3.841235975255526,-1.2197376930499926,-1.439963700570391,0.5670568101524097,-1.0718399997879908,-1.2013903225253098,1.4984271240194877,0.9015068333568411,-0.31776342907153027,0.6625561083965895,-0.8849965817520673,1.6423111380241897,1.7744431979247393,1.9756511879767695,0.799937507036027,-0.4956018113802598,-0.43129072636166105,-0.45170614514541985,-0.39203670818763064,-0.28092639230425237,-0.3056786250392091,-0.27514036468162917,-0.23648691187066867,-0.2317826054281856,-0.1692447894178341,-0.12073647005893212,-0.10040865077181796,-0.09955640649115595,-0.08800439257563399,-0.09145126195699226,-0.09186773012753226,-0.0802936599144018,-0.08068748703513243,-0.06963064030308416,-0.041169348479630906,-0.04116934847963091
amphibrach_3_5,amphibrach_3,-2.3439256320986765,2.8154086585303086,-0.8037363092702836,2.1643017084105995,-1.6096173909481686,0.46727948452648127,0.1867763249434208,-1.02253954415845,0.27206941937571255,2.7473894791714923,1.0838296944955186,-0.9063662993277957,1.0420082878970873,-2.305047657545008,-1.3951603659520282,1.11478674257837,-0.7572873957075059,-1.5122686139035546,-1.4415365979688048,-1.4290435874292509,-0.7268885204635182,2.059337842631157,-1.4153113797526207,-1.1223297376333312,0.7502185813465848,3.484081390067596,-0.9117105193366956,-0.8237181949867506,3.8833591714751767,-0.6432334787918859,-1.2013903225253098,0.06805220588335259,-0.19554908443001393,-0.8448214841909581,-0.8290233108513657,0.16482864012459084,0.43328885232317954,0.5424630541543269,0.6482912598231607,-0.6466511585005946,-0.4956018113802598,-0.43129072636166105,1.6591178771178419,-0.39203670818763064,-0.28092639230425237,-0.3056786250392091,-0.27514036468162917,-0.23648691187066867,3.9610516690399544,-0.1692447894178341,-0.12073647005893212,-0.10040865077181796,-0.09955640649115595,-0.08800439257563399,-0.09145126195699226,-0.09186773012753226,-0.0802936599144018,-0.08068748703513243,-0.06963064030308416,-0.041169348479630906,-0.04116934847963091
amphibrach_3_6,amphibrach_3,-2.25403092804977,3.069720190512727,-0.9209538407005937,1.6928174848174786,-1.0981562102905293,0.5632043931408653,0.15445521341441965,0.15631550778845182,0.9359681663989705,2.6448953424859782,1.0250714646736274,-1.0930621924829842,0.9500878649898862,-2.2135624455694676,-1.3993642298149052,1.5999370381274374,-1.831170176721795,-1.5138408285152833,-1.5796451024345473,-0.995674132066394,-0.24911997403972555,0.19259171806499772,0.09393399687873266,-1.249889569775989,-0.9923919649140035,4.0118182127710735,-0.6240955644489347,-0.8355443127394755,-0.5299425982565874,-1.4924114328152422,-1.2013903225253098,1.0059695879978812,0.8906437632170771,-0.32035192726441,0.6552306333492817,-0.8849965817520673,-0.7953240722665044,0.5263821872523158,0.6309654137503696,0.7928329914893794,-0.4956018113802598,-0.43129072636166105,-0.45170614514541985,-0.39203670818763064,-0.28092639230425237,-0.3056786250392091,-0.27514036468162917,-0.23648691187066867,-0.2317826054281856,-0.1692447894178341,-0.12073647005893212,-0.10040865077181796,-0.09955640649115595,-0.08800439257563399,-0.09145126195699226,-0.09186773012753226,-0.0802936599144018,-0.08068748703513243,-0.06963064030308416,-0.041169348479630906,-0.04116934847963091
amphibrach_3_7,amphibrach_3,-1.5766681656553356,1.7886936348840259,-1.637378109398507,1.8537328918646543,-1.6765665435208967,0.40102301915013294,0.5140437607145222,-1.4835310953323588,1.8590343958959197,2.178342608181447,1.027423157217019,-1.4144577119756092,0.9405266131140477,-1.4058511766139143,-1.5584253285230267,2.532231658024687,-1.2354543591191178,-1.3279620497975317,-1.5086618296639416,-0.7126146033746878,1.4372389106027283,1.2596215354063742,-1.4117462719022855,-0.995518032272282,-1.4590386576872216,2.2773460737457616,-1.5173980556409847,-0.8215992121334735,1.3274941681790924,1.4739317172999622,-1.2013903225253098,1.5282951848580133,0.9244147664310726,-0.31230483011172033,0.6780039965130814,1.2194861990409573,0.43611650002073915,0.5453443954316316,-0.7005768153144187,-0.6466511585005946,-0.4956018113802598,-0.43129072636166105,-0.45170614514541985,-0.39203670818763064,-0.28092639230425237,-0.3056786250392091,-0.27514036468162917,-0.23648691187066867,-0.2317826054281856,-0.1692447894178341,-0.12073647005893212,-0.10040865077181796,-0.09955640649115595,-0.08800439257563399,-0.09145126195699226,-0.09186773012753226,-0.0802936599144018,-0.08068748703513243,-0.06963064030308416,-0.041169348479630906,-0.04116934847963091
amphibrach_3_8,amphibrach_3,-2.0073684924878146,2.0307470744565626,-0.5380620447633633,1.9248159388244843,-2.166895035454115,0.764424852426789,0.8501904086603573,-0.3307765737579546,0.8295897031048862,2.5137045968741405,0.32296753015802177,-1.0662687176246586,1.1825770094256884,-1.6097833190151283,-1.6682695225540198,1.2175756257774355,-1.3461641850495942,-1.5131060246106267,-1.5784249663240317,-0.9011999806304928,1.4013082235483791,1.3476954512757011,-1.2061317690269924,-1.2491335108075652,-0.9820633504133439,1.2293140611491278,-0.6168150295685368,-1.1348168518574353,0.93365827759119,2.7000534243920375,-1.2013903225253098,-0.904297482262177,-0.7567787932478789,-0.8448214841909581,-0.082383213873198885,0.15764625548233316,1.6450906536573602,-0.7094797308345874,-0.7005768153144187,-0.6466511585005946,-0.4956018113802598,2.8915400011539187,-0.45170614514541985,-0.39203670818763064,-0.28092639230425237,-0.3056786250392091,-0.27514036468162917,-0.23648691187066867,-0.2317826054281856,-0.1692447894178341,-0.12073647005893212,-0.10040865077181796,-0.09955640649115595,-0.08800439257563399,-0.09145126195699226,-0.09186773012753226,-0.0802936599144018,-0.08068748703513243,-0.06963064030308416,-0.041169348479630906,-0.04116934847963091
amphibrach_3_9,amphibrach_3,-2.0103659497060526,3.035149096313516,-0.5628114895162049,2.0830261604851534,-1.2533773211256627,0.12589691571980374,0.5972363082186667,-1.2035997434018768,0.6475952028347112,2.04837139788455,0.9973988825809196,-0.9571449237852296,0.6715742059313886,-2.239153255610875,-1.3941552736955047,1.5530261978402773,-0.8474588600609214,-1.3891152877833999,-1.236625351278874,-1.4274000824997355,-0.5942792656225023,1.2618376032825518,-0.9666123995142473,-1.1215561966620826,-0.7184666367217085,3.094608515377268,-0.6047934131688549,-1.7444162447356495,1.3300304063741848,-1.0625217930676956,-0.8074862841858251,0.07251609007373973,0.36700256279898863,0.22102950788932832,1.4332531902805616,0.16805267151615066,1.6694479599429728,0.5463077920736786,-0.7005768153144187,0.816041565116857,-0.4956018113802598,-0.43129072636166105,-0.45170614514541985,1.887877419089296,4.152184666039963,-0.3056786250392091,-0.27514036468162917,-0.23648691187066867,-0.2317826054281856,6.1453276863275494,-0.12073647005893212,-0.10040865077181796,-0.09955640649115595,-0.08800439257563399,-0.09145126195699226,-0.09186773012753226,-0.0802936599144018,-0.08068748703513243,-0.06963064030308416,-0.041169348479630906,-0.04116934847963091
amphibrach_3_10,amphibrach_3,-1.8421414355451675,2.597074397916716,-0.4613037109599452,1.863188222019361,-1.611175937220774,0.339636664807568,0.929687374507937,-0.8206949780287268,-0.03385369461794745,2.2486273330667284,0.78167999275048194,-1.425395430230262,1.4732518970264028,-1.9489634977085621,-1.2317065888851788,1.9536012506796705,-1.1435016577657175,-1.5734927924331834,-1.5093891960874706,-1.4292483182221634,0.03275903900052373,1.251892002559758,-0.08866388681512144,-1.2483200568691541,-0.9709506561728315,2.670882165687277,-1.5182118403549951,-1.7444162447356495,-0.8777547548097671,-1.065435776242,-0.8088424954884478,-0.4168359335349663,-0.19597556962007714,0.7484504177041144,-0.07752748256155818,0.16442702374284762,-0.7953240722665044,-0.7094797308345874,-0.7005768153144187,0.8110055151885641,-0.4956018113802598,-0.43129072636166105,-0.45170614514541985,-0.39203670818763064,1.9279975378768266,-0.3056786250392091,-0.27514036468162917,-0.23648691187066867,3.9594476773511755,-0.1692447894178341,-0.12073647005893212,-0.10040865077181796,-0.09955640649115595,-0.08800439257563399,-0.09145126195699226,-0.09186773012753226,-0.0802936599144018,-0.08068748703513243,-0.06963064030308416,-0.041169348479630906,-0.04116934847963091
amphibrach_4_1,amphibrach_4,-1.8127131793979383,1.16454103065201,-1.507888159367086,1.5980902263319827,-1.6349780316282978,0.8412755046640139,2.3846828664378514,0.11847358954254514,0.6854599586767639,2.628210163359158,0.9736170052084568,-1.0483918916673955,1.2540641561143415,-1.443752718340029,-1.5518488954698948,0.6103841734568989,-0.8430325891823106,-1.5868192775008587,-1.515427932422745,-1.6155190954538472,0.4718464604269502,0.6248145693948095,-0.3690443479198197,-1.3742140163961925,-1.5377654598573702,0.18356419071256866,-0.8730629801595303,-1.7444162447356495,-0.25800379698209774,-0.25960336524997984,-0.8943526146035992,-1.3855000836114701,0.4329201041930943,-0.01401902028636628,0.9343609756383623,-0.06417273233144861,-0.7953240722665044,0.2693732006962423,3.517965710519806,-0.6466511585005946,-0.4956018113802598,-0.43129072636166105,-0.45170614514541985,-0.39203670818763064,-0.28092639230425237,-0.3056786250392091,-0.27514036468162917,-0.23648691187066867,-0.2317826054281856,-0.1692447894178341,-0.12073647005893212,-0.10040865077181796,-0.09955640649115595,-0.08800439257563399,-0.09145126195699226,-0.09186773012753226,-0.0802936599144018,-0.08068748703513243,-0.06963064030308416,-0.041169348479630906,-0.04116934847963091
amphibrach_4_2,amphibrach_4,-1.6188406795527903,2.0104144238752437,-1.1852890273595273,1.5994203242112415,-1.588916233828824,0.2760886643516072,1.8702127257157863,-1.6686614231582522,0.7412050463880587,2.25110030322485,0.6727369456725979,-1.970340101075349,1.3699334508223484,-1.1750082942762956,-1.5524085557745888,1.9056194072738017,-0.6994778125119208,-1.300812940692136,-1.6218905867653157,-1.4081349133045213,0.363299631896547,1.156044122302459,1.3469694525111828,-1.3742140163961925,-1.3500056100521698,2.230658983597122,-0.8761737707725732,-1.266081618233239,0.30713231074022984,0.06375756878645103,-0.8953598960790357,0.12484175253525295,-0.007194628573646161,-0.8448214841909581,-0.24315689416494846,0.7512654550887963,1.1195972351912016,1.2418035958436309,0.35059893187749747,0.48973850598597307,-0.4956018113802598,-0.43129072636166105,-0.45170614514541985,-0.39203670818763064,-0.28092639230425237,-0.3056786250392091,-0.27514036468162917,-0.23648691187066867,-0.2317826054281856,-0.1692447894178341,-0.12073647005893212,-0.10040865077181796,-0.09955640649115595,-0.08800439257563399,-0.09145126195699226,-0.09186773012753226,-0.0802936599144018,-0.08068748703513243,-0.06963064030308416,-0.041169348479630906,-0.04116934847963091
amphibrach_4_3,amphibrach_4,-1.4783571902961985,1.661159632211134,-0.702540060444671,1.3601526962267323,-1.5781824637974702,0.4147964137599948,1.5714404676222216,-0.73519536879185,-0.02431951013561088,2.1835552735800503,0.8192400089578447,-1.6807206896573075,1.4455762294505188,-1.6119547735434538,-1.6365809905329192,1.304388791070686,0.30837661103340147,-1.3938303848270737,-1.6203162218971559,-1.3324073848817457,1.888383213823765,0.005103241234851394,0.5189882009430327,-1.1759689500084345,-1.530124846259721,1.31680981849309,-1.1054067981475115,-1.7444162447356495,1.4827165292817421,-1.2447930009862584,-0.8923180273824312,0.5211927539638169,0.005758733627705423,-0.8448214841909581,-0.237333523155716,1.5937925490585119,-0.7953240722665044,0.27585957554373586,0.3610473655092244,0.5010339454221348,-0.4956018113802598,-0.43129072636166105,-0.45170614514541985,1.3968718163775482,-0.28092639230425237,-0.3056786250392091,-0.27514036468162917,-0.23648691187066867,-0.2317826054281856,-0.1692447894178341,-0.12073647005893212,-0.10040865077181796,-0.09955640649115595,-0.08800439257563399,-0.09145126195699226,-0.09186773012753226,-0.0802936599144018,-0.08068748703513243,-0.06963064030308416,-0.041169348479630906,-0.04116934847963091
amphibrach_4_4,amphibrach_4,-1.2875118562235917,1.5578472482034298,-0.5973490613573582,2.0803713135366664,-1.572486262897063,0.07946879268078832,1.0998449962086434,-1.3229931472193148,0.5508638993495678,2.730104592795167,1.0932712873383112,-1.8072424900475692,1.0853374083789846,-1.0240256112924389,-1.6803739278483938,1.6261618186814977,-1.093676825236115,-1.587468964611831,-1.5712753936752688,-1.6202533859183827,0.04038923419138953,-0.2941766144835699,-0.7456242247504441,-1.0828148338073393,-0.9847292040975129,2.497808907409287,-1.1197751443716513,-1.2710230916475203,0.5659845328328448,1.01950475458255,-0.898521367426621,0.8566086132303078,-0.8804733480151317,-0.02529910096511814,-0.8290233108513657,-0.0753173300508549,-0.7953240722665044,-0.7094797308345874,2.42037266550125,-0.6466511585005946,-0.4956018113802598,-0.43129072636166105,-0.45170614514541985,-0.39203670818763064,-0.28092639230425237,-0.3056786250392091,-0.27514036468162917,-0.23648691187066867,-0.2317826054281856,-0.1692447894178341,-0.12073647005893212,-0.10040865077181796,-0.09955640649115595,-0.08800439257563399,-0.09145126195699226,-0.09186773012753226,-0.0802936599144018,-0.08068748703513243,-0.06963064030308416,-0.041169348479630906,-0.04116934847963091
amphibrach_4_5,amphibrach_4,-1.3668838311180287,1.6109872077820537,-1.371113702668857,1.2570919002808374,-1.894676820378335,-0.027467367831524897,2.219003208469975,-0.5706172166856196,0.33105151869397437,3.074456847709688,1.207973674542355,-2.280468275162018,1.0887742593922505,-1.2750280480717635,-1.6800359691124163,1.019098259693572,-0.40491760639015295,-1.3016076022926002,-1.5695963821633174,-1.4788024289824924,0.6521502861575176,1.7763102553776582,-0.38371582113114533,-0.7867338434649016,-1.1621103967958704,3.0085887004383203,-0.40699080226386963,-0.5514260612615483,-0.8371290387885121,0.38705127015742885,-1.2013903225253098,-1.0088133700887119,1.2897883093226352,0.3943373231740282,-0.8290233108513657,-0.06881291475899746,1.115039255286512,-0.7094797308345874,0.3480968771385699,-0.6466511585005946,-0.4956018113802598,-0.43129072636166105,-0.45170614514541985,1.37504936784819,-0.28092639230425237,-0.3056786250392091,-0.27514036468162917,-0.23648691187066867,-0.2317826054281856,-0.1692447894178341,-0.12073647005893212,-0.10040865077181796,-0.09955640649115595,-0.08800439257563399,-0.09145126195699226,-0.09186773012753226,-0.0802936599144018,-0.08068748703513243,-0.06963064030308416,-0.041169348479630906,-0.04116934847963091
